ICD10	ICD10_our_names	ICD10_name	ICD10_category	ICD10_colors
A15	Mycobacterium Tuberculosis	Respiratory tuberculosis	Certain infectious and parasitic diseases	#4EF9EA
D46	Myelodysplastic syndromes	Myelodysplastic syndromes	Neoplasms	#570892
C90	Myeloma	Multiple myeloma and malignant plasma cell neoplasms	Neoplasms	#570892
I21	Acute myocardial infarction	Acute myocardial infarction	Diseases of the circulatory system	#0BF57B
M60	Myositis	Myositis	Diseases of the musculoskeletal system and connective tissue	#1E5448
C11	Nasopharingeal cancer	Malignant neoplasm of nasopharynx	Neoplasms	#570892
C34	Lung cancer	Malignant neoplasm of bronchus and lung	Neoplasms	#570892
C71	Brain cancer	Malignant neoplasm of brain	Neoplasms	#570892
C14	Oral cavity cancer	Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx	Neoplasms	#570892
K13	Oral dysplasia	Other diseases of lip and oral mucosa	Diseases of the digestive system	#82DD7A
M19	Osteoarthritis	Other and unspecified osteoarthritis	Diseases of the musculoskeletal system and connective tissue	#1E5448
C41	Osteosarcoma	Malignant neoplasm of bone and articular cartilage of other and unspecified sites	Neoplasms	#570892
C56	Ovary cancer	Malignant neoplasm of ovary	Neoplasms	#570892
C25	Pancreatic cancer	Malignant neoplasm of pancreas	Neoplasms	#570892
C25	Pancreatic cancer	Malignant neoplasm of pancreas	Neoplasms	#570892
G20	Parkinson's disease	Parkinson's disease	Diseases of the nervous system	#75C0D9
E28	PCOS	Ovarian dysfunction	Endocrine, nutritional and metabolic diseases	#C55F1B
I73	Peripheral arterial disease	Other peripheral vascular diseases	Diseases of the circulatory system	#0BF57B
C71	Brain cancer	Malignant neoplasm of brain	Neoplasms	#570892
J30	Polen allergy	Vasomotor and allergic rhinitis	Diseases of the respiratory system	#FE1659
E88	Other and unspecified metabolic disorders	Other and unspecified metabolic disorders	Endocrine, nutritional and metabolic diseases	#C55F1B
D45	Polycythemia vera	Polycythemia vera	Neoplasms	#570892
D75	Primary myelofibrosis	Other and unspecified diseases of blood and blood-forming organs	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	#758F55
C61	Prostate cancer	Malignant neoplasm of prostate	Neoplasms	#570892
L40	Psoriasis	Psoriasis	Diseases of the skin and subcutaneous tissue	#5045F3
C64	Kidney cancer	Malignant neoplasm of kidney, except renal pelvis	Neoplasms	#570892
C49	Rhabdoid cancer	Malignant neoplasm of other connective and soft tissue	Neoplasms	#570892
L71	Rosacea	Rosacea	Diseases of the skin and subcutaneous tissue	#5045F3
L71	Rosacea	Rosacea	Diseases of the skin and subcutaneous tissue	#5045F3
L71	Rosacea	Rosacea	Diseases of the skin and subcutaneous tissue	#5045F3
D86	Sarcoidosis	Sarcoidosis	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	#758F55
F20	Schizophrenia	Schizophrenia	Mental and behavioural disorders	#03A412
L82	Seborrheic keratosis	Seborrheic keratosis	Diseases of the skin and subcutaneous tissue	#5045F3
R65	Septic Shock	Symptoms and signs specifically associated with systemic inflammation and infection	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	#D1EB04
Q82	Setleis syndrome	Other congenital malformations of skin	Congenital malformations, deformations and chromosomal abnormalities	#272399
D57	Sickle-cell anemia	Sickle-cell disorders	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	#758F55
M35	Other systemic involvement of connective tissue	Other systemic involvement of connective tissue	Diseases of the musculoskeletal system and connective tissue	#1E5448
M32	Systemic lupus erythematosus	Systemic lupus erythematosus (SLE)	Diseases of the musculoskeletal system and connective tissue	#1E5448
F17	Smoker	Nicotine dependence	Mental and behavioural disorders	#03A412
C90	Myeloma	Multiple myeloma and malignant plasma cell neoplasms	Neoplasms	#570892
Q87	Other specified congenital malformation syndromes affecting multiple systems	Other specified congenital malformation syndromes affecting multiple systems	Congenital malformations, deformations and chromosomal abnormalities	#272399
Q05	Spina bifida	Spina bifida	Congenital malformations, deformations and chromosomal abnormalities	#272399
-			Unclassified diseases and risk factors	#97F52C
C84	T-cell lymphoma	Mature T/NK-cell lymphomas	Neoplasms	#570892
D56	Thalassemia	Thalassemia	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	#758F55
D69	Thrombocytopenia	Purpura and other hemorrhagic conditions	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	#758F55
C73	Thyroid cancer	Malignant neoplasm of thyroid gland	Neoplasms	#570892
G71	Tibial muscular dystrophy	Primary disorders of muscles	Diseases of the nervous system	#75C0D9
A71	Trachoma	Trachoma	Certain infectious and parasitic diseases	#4EF9EA
-			Unclassified diseases and risk factors	#97F52C
Q96	Turner's syndrome	Turner's syndrome	Congenital malformations, deformations and chromosomal abnormalities	#272399
E10	Type 1 diabetes mellitus	Type 1 diabetes mellitus	Endocrine, nutritional and metabolic diseases	#C55F1B
E11	Type 2 diabetes mellitus	Type 2 diabetes mellitus	Endocrine, nutritional and metabolic diseases	#C55F1B
K51	Ulcerative colitis	Ulcerative colitis	Diseases of the digestive system	#82DD7A
N19	Uremia	Unspecified kidney failure	Diseases of the genitourinary system	#42223B
L80	Vitiligo	Vitiligo	Diseases of the skin and subcutaneous tissue	#5045F3
Q87	Other specified congenital malformation syndromes affecting multiple systems	Other specified congenital malformation syndromes affecting multiple systems	Congenital malformations, deformations and chromosomal abnormalities	#272399
B44	Aspergillus colonization of lung allograft	Aspergillosis	Certain infectious and parasitic diseases	#4EF9EA
F31	Bipolar disorder	Bipolar disorder	Mental and behavioural disorders	#03A412
T86	Chronic lung allograft dysfunction	Complications of transplanted organs and tissue	Injury, poisoning and certain other consequences of external causes	#DCD41E
C57	Fallopian tube epithelium carcinoma	Malignant neoplasm of other and unspecified female genital organs	Neoplasms	#570892
B19	Hepatitis B	Unspecified viral hepatitis	Certain infectious and parasitic diseases	#4EF9EA
-			Unclassified diseases and risk factors	#97F52C
N02	IgA nephropathy	Recurrent and persistent hematuria	Diseases of the genitourinary system	#42223B
C43	Melanoma	Malignant melanoma of skin	Neoplasms	#570892
C79	Melanoma metastasis	Secondary malignant neoplasm of other and unspecified sites	Neoplasms	#570892
M35	Other systemic involvement of connective tissue	Other systemic involvement of connective tissue	Diseases of the musculoskeletal system and connective tissue	#1E5448
B97	Respiratory syncytial virus	Viral agents as the cause of diseases classified elsewhere	Certain infectious and parasitic diseases	#4EF9EA
-			Unclassified diseases and risk factors	#97F52C
