ICD9	ICD9_our_names	ICD9_category	ICD9_colors
289	Primary myelofibrosis	Diseases of the blood and blood-forming organs	#758F55
185	Prostate cancer	Neoplasms	#570892
696	Psoriasis	Diseases of the skin and subcutaneous tissue	#5045F3
189	Kidney cancer	Neoplasms	#570892
695	Rosacea	Diseases of the skin and subcutaneous tissue	#5045F3
295	Schizophrenia	Mental disorders	#03A412
702	Seborrheic keratosis	Diseases of the skin and subcutaneous tissue	#5045F3
785	Septic shock	Symptoms, signs, and ill-defined conditions	#D1EB04
757	Setleis syndrome	Congenital anomalies	#272399
282	Hereditary hemolytic anemias (Sickle / Thalassemia)	Diseases of the blood and blood-forming organs	#758F55
305	Smoking	Mental disorders	#03A412
253	Sotos syndrome	Endocrine, nutritional and metabolic diseases, and immunity disorders	#C55F1B
741	Spina bifida	Congenital anomalies	#272399
287	Thrombocytopenia	Diseases of the blood and blood-forming organs	#758F55
193	Thyroid cancer	Neoplasms	#570892
359	Muscular dystrophy	Diseases of the nervous system and sense organs	#75C0D9
76	Trachoma	Infectious and parasitic diseases	#4EF9EA
250	Diabetes mellitus	Endocrine, nutritional and metabolic diseases, and immunity disorders	#C55F1B
556	Ulcerative enterocolitis	Diseases of the digestive system	#82DD7A
586	Uremia	Diseases of the genitourinary system	#42223B
709	Vitiligo	Diseases of the skin and subcutaneous tissue	#5045F3
484	Lung allograft infection by aspergillus	Diseases of the respiratory system	#FE1659
996	Lung allograft dysfunction	Injury and poisoning	#DCD41E
583	IgA nephropathy	Diseases of the genitourinary system	#42223B
172	Melanoma	Neoplasms	#570892
198	Melanoma metastasis	Neoplasms	#570892
725	Polymyalgia rheumatica	Diseases of the musculoskeletal system and connective tissue	#1E5448
