ICD10	ICD10_our_names	ICD10_category	ICD10_colors
D86	Sarcoidosis	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	#758F55
A90	Dengue fever	Certain infectious and parasitic diseases	#4EF9EA
M33	Dermatomyositis	Diseases of the musculoskeletal system and connective tissue	#1E5448
N80	Endometriosis	Diseases of the genitourinary system	#42223B
C15	Esophageal cancer	Neoplasms	#570892
D47	Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue	Neoplasms	#570892
A81	Fatal Familial Insomnia	Certain infectious and parasitic diseases	#4EF9EA
C82	Follicular lymphoma	Neoplasms	#570892
C16	Gastric cancer	Neoplasms	#570892
B17	Hepatitis C	Certain infectious and parasitic diseases	#4EF9EA
B19	Hepatitis B	Certain infectious and parasitic diseases	#4EF9EA
C22	Liver cancer	Neoplasms	#570892
A63	human papillomavirus	Certain infectious and parasitic diseases	#4EF9EA
G10	Huntington's disease	Diseases of the nervous system	#75C0D9
E34	Hutchinson Gilford Progeria	Endocrine, nutritional and metabolic diseases	#C55F1B
J84	Other interstitial pulmonary diseases	Diseases of the respiratory system	#FE1659
N30	Cystitis	Diseases of the genitourinary system	#42223B
K58	Irritable bowel syndrome	Diseases of the digestive system	#82DD7A
I25	Ischemic Heart	Diseases of the circulatory system	#0BF57B
G72	ISCU Myopathy	Diseases of the nervous system	#75C0D9
C93	JMML	Neoplasms	#570892
D82	Job's syndrome	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	#758F55
Q98	Klinefelter's syndrome	Congenital malformations, deformations and chromosomal abnormalities	#272399
G31	Leigh syndrome	Diseases of the nervous system	#75C0D9
B55	Leishmaniasis	Certain infectious and parasitic diseases	#4EF9EA
F33	Major depression	Mental and behavioural disorders	#03A412
C38	Mesothelioma	Neoplasms	#570892
C90	Myeloma	Neoplasms	#570892
G35	Multiple sclerosis	Diseases of the nervous system	#75C0D9
A15	Mycobacterium Tuberculosis	Certain infectious and parasitic diseases	#4EF9EA
D46	Myelodysplastic syndromes	Neoplasms	#570892
M60	Myositis	Diseases of the musculoskeletal system and connective tissue	#1E5448
C11	Nasopharingeal cancer	Neoplasms	#570892
C14	Oral cavity cancer	Neoplasms	#570892
K13	Oral dysplasia	Diseases of the digestive system	#82DD7A
M19	Osteoarthritis	Diseases of the musculoskeletal system and connective tissue	#1E5448
C41	Osteosarcoma	Neoplasms	#570892
C56	Ovary cancer	Neoplasms	#570892
C25	Pancreatic cancer	Neoplasms	#570892
G20	Parkinson's disease	Diseases of the nervous system	#75C0D9
E28	PCOS	Endocrine, nutritional and metabolic diseases	#C55F1B
I73	Peripheral arterial disease	Diseases of the circulatory system	#0BF57B
J30	Polen allergy	Diseases of the respiratory system	#FE1659
D45	Polycythemia vera	Neoplasms	#570892
D75	Primary myelofibrosis	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	#758F55
C61	Prostate cancer	Neoplasms	#570892
L40	Psoriasis	Diseases of the skin and subcutaneous tissue	#5045F3
C64	Kidney cancer	Neoplasms	#570892
C49	Rhabdoid cancer	Neoplasms	#570892
L71	Rosacea	Diseases of the skin and subcutaneous tissue	#5045F3
F20	Schizophrenia	Mental and behavioural disorders	#03A412
L82	Seborrheic keratosis	Diseases of the skin and subcutaneous tissue	#5045F3
R65	Septic Shock	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	#D1EB04
Q82	Setleis syndrome	Congenital malformations, deformations and chromosomal abnormalities	#272399
D57	Sickle-cell anemia	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	#758F55
M32	Systemic lupus erythematosus	Diseases of the musculoskeletal system and connective tissue	#1E5448
F17	Smoker	Mental and behavioural disorders	#03A412
Q05	Spina bifida	Congenital malformations, deformations and chromosomal abnormalities	#272399
C84	T-cell lymphoma	Neoplasms	#570892
D56	Thalassemia	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	#758F55
D69	Thrombocytopenia	Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism	#758F55
C73	Thyroid cancer	Neoplasms	#570892
G71	Tibial muscular dystrophy	Diseases of the nervous system	#75C0D9
A71	Trachoma	Certain infectious and parasitic diseases	#4EF9EA
Q96	Turner's syndrome	Congenital malformations, deformations and chromosomal abnormalities	#272399
E10	Type 1 diabetes mellitus	Endocrine, nutritional and metabolic diseases	#C55F1B
E11	Type 2 diabetes mellitus	Endocrine, nutritional and metabolic diseases	#C55F1B
K51	Ulcerative colitis	Diseases of the digestive system	#82DD7A
N19	Uremia	Diseases of the genitourinary system	#42223B
L80	Vitiligo	Diseases of the skin and subcutaneous tissue	#5045F3
B44	Aspergillus colonization of lung allograft	Certain infectious and parasitic diseases	#4EF9EA
F31	Bipolar disorder	Mental and behavioural disorders	#03A412
T86	Chronic lung allograft dysfunction	Injury, poisoning and certain other consequences of external causes	#DCD41E
C57	Fallopian tube epithelium carcinoma	Neoplasms	#570892
N02	IgA nephropathy	Diseases of the genitourinary system	#42223B
C43	Melanoma	Neoplasms	#570892
C79	Melanoma metastasis	Neoplasms	#570892
B97	Respiratory syncytial virus	Certain infectious and parasitic diseases	#4EF9EA
