term	category
G35 (Multiple sclerosis)	disease
G71 (Tibial muscular dystrophy)	disease
I21 (Acute myocardial infarction)	disease
I63 (Cerebral infarction)	disease
I73 (Peripheral arterial disease)	disease
J32 (Chronic sinusitis)	disease
J45 (Asthma)	disease
J84 (Other interstitial pulmonary diseases)	disease
K12 (Aphthous stomatitis)	disease
K13 (Oral dysplasia)	disease
K50 (Crohn's disease)	disease
K51 (Ulcerative colitis)	disease
K58 (Irritable bowel syndrome)	disease
K70 (Alcoholic liver disease)	disease
L40 (Psoriasis)	disease
L70 (Acne)	disease
L71 (Rosacea)	disease
L82 (Seborrheic keratosis)	disease
M33 (Dermatomyositis)	disease
M35 (Other systemic involvement of connective tissue)	disease
M47 (Axial Spondyloarthropathy)	disease
M60 (Myositis)	disease
N02 (IgA nephropathy)	disease
N30 (Cystitis)	disease
N80 (Endometriosis)	disease
Q87 (Other specified congenital malformation syndromes affecting multiple systems)	disease
R65 (Septic Shock)	disease
T86 (Chronic lung allograft dysfunction)	disease
