pathway	parents
signaling by nodal	Developmental Biology
fertilization	Reproduction
meiotic synapsis	Reproduction
meiotic synapsis	Cell Cycle
ros and rns production in phagocytes	Immune System
signaling by fgfr in disease	Disease
signaling by erbb2	Signal Transduction
signaling by erbb2 in cancer	Disease
regulation of gene expression by hypoxia inducible factor	Cellular responses to stimuli
cellular response to hypoxia	Cellular responses to stimuli
constitutive signaling by ligand responsive egfr cancer variants	Disease
signaling by erbb4	Signal Transduction
cross presentation of particulate exogenous antigens phagosomes	Immune System
antigen processing cross presentation	Immune System
endosomal vacuolar pathway	Immune System
cross presentation of soluble exogenous antigens endosomes	Immune System
erythrocytes take up carbon dioxide and release oxygen	Transport of small molecules
methionine salvage pathway	Metabolism
erythrocytes take up oxygen and release carbon dioxide	Transport of small molecules
shc1 events in erbb2 signaling	Signal Transduction
pi3k events in erbb4 signaling	Signal Transduction
shc1 events in erbb4 signaling	Signal Transduction
nuclear signaling by erbb4	Signal Transduction
downregulation of erbb4 signaling	Signal Transduction
interleukin 7 signaling	Immune System
developmental biology	Developmental Biology
mitochondrial protein import	Protein localization
cytokine signaling in immune system	Immune System
adaptive immune system	Immune System
spry regulation of fgf signaling	Signal Transduction
ca2 activated k channels	Neuronal System
inwardly rectifying k channels	Neuronal System
potassium channels	Neuronal System
voltage gated potassium channels	Neuronal System
tandem pore domain potassium channels	Neuronal System
sperm motility and taxes	Reproduction
acrosome reaction and sperm oocyte membrane binding	Reproduction
grb7 events in erbb2 signaling	Signal Transduction
downregulation of erbb2 erbb3 signaling	Signal Transduction
transcription of e2f targets under negative control by dream complex	Cell Cycle
transcription of e2f targets under negative control by p107 rbl1 and p130 rbl2 in complex with hdac1	Cell Cycle
mitochondrial iron sulfur cluster biogenesis	Metabolism
rora activates gene expression	Circadian Clock
bmal1 clock npas2 activates circadian gene expression	Circadian Clock
abc transporters in lipid homeostasis	Transport of small molecules
elevation of cytosolic ca2 levels	Hemostasis
activation of puma and translocation to mitochondria	Programmed Cell Death
apoptosis induced dna fragmentation	Programmed Cell Death
caspase activation via death receptors in the presence of ligand	Programmed Cell Death
extrinsic pathway of fibrin clot formation	Hemostasis
intrinsic pathway of fibrin clot formation	Hemostasis
common pathway of fibrin clot formation	Hemostasis
formation of fibrin clot clotting cascade	Hemostasis
inhibition of the proteolytic activity of apc c required for the onset of anaphase by mitotic spindle checkpoint components	Cell Cycle
the citric acid tca cycle and respiratory electron transport	Metabolism
signaling by scf kit	Signal Transduction
regulation of kit signaling	Signal Transduction
regulation of signaling by nodal	Developmental Biology
collagen degradation	Extracellular matrix organization
translocation of slc2a4 glut4 to the plasma membrane	Vesicle-mediated transport
beta defensins	Immune System
defensins	Immune System
alpha defensins	Immune System
tetrahydrobiopterin bh4 synthesis recycling salvage and regulation	Metabolism
reproduction	Reproduction
degradation of the extracellular matrix	Extracellular matrix organization
extracellular matrix organization	Extracellular matrix organization
collagen formation	Extracellular matrix organization
reversible hydration of carbon dioxide	Metabolism
acyl chain remodelling of pc	Metabolism
acyl chain remodeling of cl	Metabolism
acyl chain remodelling of ps	Metabolism
acyl chain remodelling of pe	Metabolism
acyl chain remodeling of dag and tag	Metabolism
acyl chain remodelling of pi	Metabolism
acyl chain remodelling of pg	Metabolism
hydrolysis of lpc	Metabolism
synthesis of pg	Metabolism
synthesis of pa	Metabolism
synthesis of pc	Metabolism
glycerophospholipid biosynthesis	Metabolism
synthesis of pe	Metabolism
synthesis of pi	Metabolism
synthesis of pips at the er membrane	Metabolism
inositol phosphate metabolism	Metabolism
pi metabolism	Metabolism
phospholipid metabolism	Metabolism
dag and ip3 signaling	Signal Transduction
meiosis	Reproduction
meiosis	Cell Cycle
cell cell communication	Cell-Cell communication
signaling by activin	Signal Transduction
g0 and early g1	Cell Cycle
phase ii conjugation of compounds	Metabolism
methylation	Metabolism
cytosolic sulfonation of small molecules	Metabolism
amino acid conjugation	Metabolism
glucuronidation	Metabolism
glutathione conjugation	Metabolism
elastic fibre formation	Extracellular matrix organization
fibronectin matrix formation	Extracellular matrix organization
polo like kinase mediated events	Cell Cycle
eukaryotic translation elongation	Metabolism of proteins
signaling by notch	Signal Transduction
telomere maintenance	Cell Cycle
gap junction trafficking and regulation	Vesicle-mediated transport
metabolism of nucleotides	Metabolism
mitochondrial biogenesis	Organelle biogenesis and maintenance
transport of the slbp dependant mature mrna	Metabolism of RNA
transport of mature mrnas derived from intronless transcripts	Metabolism of RNA
activation of matrix metalloproteinases	Extracellular matrix organization
recycling of bile acids and salts	Metabolism
removal of aminoterminal propeptides from gamma carboxylated proteins	Metabolism of proteins
gamma carboxylation transport and amino terminal cleavage of proteins	Metabolism of proteins
zbp1 dai mediated induction of type i ifns	Immune System
irf3 mediated activation of type 1 ifn	Immune System
sulfide oxidation to sulfate	Metabolism
degradation of cysteine and homocysteine	Metabolism
sulfur amino acid metabolism	Metabolism
hiv life cycle	Disease
budding and maturation of hiv virion	Disease
integration of provirus	Disease
early phase of hiv life cycle	Disease
golgi cisternae pericentriolar stack reorganization	Cell Cycle
synthesis of glycosylphosphatidylinositol gpi	Metabolism of proteins
attachment of gpi anchor to upar	Metabolism of proteins
hiv infection	Disease
host interactions of hiv factors	Disease
glycosaminoglycan metabolism	Metabolism
post translational modification synthesis of gpi anchored proteins	Metabolism of proteins
respiratory electron transport atp synthesis by chemiosmotic coupling and heat production by uncoupling proteins	Metabolism
formation of atp by chemiosmotic coupling	Metabolism
pka mediated phosphorylation of key metabolic factors	Metabolism
glucagon signaling in metabolic regulation	Metabolism
triglyceride catabolism	Metabolism
ampk inhibits chrebp transcriptional activation activity	Metabolism
integration of energy metabolism	Metabolism
chrebp activates metabolic gene expression	Metabolism
pp2a mediated dephosphorylation of key metabolic factors	Metabolism
keratan sulfate keratin metabolism	Metabolism
heparan sulfate heparin hs gag metabolism	Metabolism
gamma carboxylation hypusine formation and arylsulfatase activation	Metabolism of proteins
cell cycle	Cell Cycle
signaling by egfr in cancer	Disease
pka activation in glucagon signalling	Metabolism
2 ltr circle formation	Disease
nef mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	Disease
nef mediated downregulation of mhc class i complex cell surface expression	Disease
nef and signal transduction	Disease
the role of nef in hiv 1 replication and disease pathogenesis	Disease
collagen biosynthesis and modifying enzymes	Extracellular matrix organization
mtor signalling	Signal Transduction
regulation of cholesterol biosynthesis by srebp srebf	Metabolism
synthesis of pips at the plasma membrane	Metabolism
synthesis of pips at the golgi membrane	Metabolism
synthesis of pips at the early endosome membrane	Metabolism
synthesis of pips at the late endosome membrane	Metabolism
sphingolipid de novo biosynthesis	Metabolism
glycosphingolipid metabolism	Metabolism
myd88 independent tlr4 cascade	Immune System
mitochondrial uncoupling	Metabolism
mtorc1 mediated signalling	Signal Transduction
the activation of arylsulfatases	Metabolism of proteins
signaling by ntrks	Signal Transduction
complement cascade	Immune System
lectin pathway of complement activation	Immune System
initial triggering of complement	Immune System
terminal pathway of complement	Immune System
creation of c4 and c2 activators	Immune System
signalling to ras	Signal Transduction
hiv transcription initiation	Disease
hiv transcription elongation	Disease
transcription of the hiv genome	Disease
abortive elongation of hiv 1 transcript in the absence of tat	Disease
hiv elongation arrest and recovery	Disease
nef mediated cd4 down regulation	Disease
the fatty acid cycling model	Metabolism
trafficking and processing of endosomal tlr	Immune System
toll like receptor 9 tlr9 cascade	Immune System
toll like receptor tlr1 tlr2 cascade	Immune System
innate immune system	Immune System
influenza infection	Disease
export of viral ribonucleoproteins from nucleus	Disease
ns1 mediated effects on host pathways	Disease
viral messenger rna synthesis	Disease
nod1 2 signaling pathway	Immune System
nucleotide binding domain leucine rich repeat containing receptor nlr signaling pathways	Immune System
neurotoxicity of clostridium toxins	Disease
toll like receptor cascades	Immune System
ticam1 rip1 mediated ikk complex recruitment	Immune System
ddx58 ifih1 mediated induction of interferon alpha beta	Immune System
prolonged erk activation events	Signal Transduction
adenylate cyclase activating pathway	Signal Transduction
adenylate cyclase inhibitory pathway	Signal Transduction
adenylate cyclase inhibitory pathway	Neuronal System
regulation of glucokinase by glucokinase regulatory protein	Metabolism
signaling by tgf beta receptor complex	Signal Transduction
arms mediated activation	Signal Transduction
p38mapk events	Signal Transduction
telomere extension by telomerase	Cell Cycle
alternative complement activation	Immune System
apc c cdc20 mediated degradation of cyclin b	Cell Cycle
scf beta trcp mediated degradation of emi1	Cell Cycle
apc c mediated degradation of cell cycle proteins	Cell Cycle
apc c cdh1 mediated degradation of cdc20 and other apc c cdh1 targeted proteins in late mitosis early g1	Cell Cycle
transport and synthesis of paps	Metabolism
glutathione synthesis and recycling	Metabolism
polymerase switching on the c strand of the telomere	Cell Cycle
processive synthesis on the c strand of the telomere	Cell Cycle
telomere c strand lagging strand synthesis	Cell Cycle
telomere c strand synthesis initiation	Cell Cycle
activation of c3 and c5	Immune System
plasma lipoprotein assembly remodeling and clearance	Transport of small molecules
assembly of the hiv virion	Disease
interactions of vpr with host cellular proteins	Disease
activation of atr in response to replication stress	Cell Cycle
conversion from apc c cdc20 to apc c cdh1 in late anaphase	Cell Cycle
phosphorylation of the apc c	Cell Cycle
phosphorylation of emi1	Cell Cycle
unwinding of dna	Cell Cycle
unwinding of dna	DNA Replication
conjugation of benzoate with glycine	Metabolism
interactions of rev with host cellular proteins	Disease
retrograde neurotrophin signalling	Signal Transduction
signaling by egfr	Signal Transduction
chondroitin sulfate dermatan sulfate metabolism	Metabolism
apc cdc20 mediated degradation of nek2a	Cell Cycle
srp dependent cotranslational protein targeting to membrane	Metabolism of proteins
darpp 32 events	Signal Transduction
gab1 signalosome	Signal Transduction
shc1 events in egfr signaling	Signal Transduction
apobec3g mediated resistance to hiv 1 infection	Disease
nuclear import of rev protein	Disease
extension of telomeres	Cell Cycle
rip mediated nfkb activation via zbp1	Immune System
serotonin neurotransmitter release cycle	Neuronal System
norepinephrine neurotransmitter release cycle	Neuronal System
acetylcholine binding and downstream events	Neuronal System
nef mediated cd8 down regulation	Disease
egfr downregulation	Signal Transduction
sting mediated induction of host immune responses	Immune System
cytosolic sensors of pathogen associated dna	Immune System
signaling by cytosolic fgfr1 fusion mutants	Disease
fgfr1 mutant receptor activation	Disease
fgfr2 mutant receptor activation	Disease
organelle biogenesis and maintenance	Organelle biogenesis and maintenance
synthesis of pyrophosphates in the cytosol	Metabolism
synthesis of ip2 ip and ins in the cytosol	Metabolism
synthesis of ip3 and ip4 in the cytosol	Metabolism
regulation of beta cell development	Developmental Biology
downstream signal transduction	Signal Transduction
signaling by pdgf	Signal Transduction
activation of trka receptors	Signal Transduction
ngf independant trka activation	Signal Transduction
scf skp2 mediated degradation of p27 p21	Cell Cycle
signalling to erks	Signal Transduction
signalling to p38 via rit and rin	Signal Transduction
digestion of dietary carbohydrate	Digestion and absorption
cellular hexose transport	Transport of small molecules
metabolism of porphyrins	Metabolism
heme biosynthesis	Metabolism
heme degradation	Metabolism
signaling by fgfr	Signal Transduction
fgfr3 ligand binding and activation	Signal Transduction
fgfr2 ligand binding and activation	Signal Transduction
fgfr1 ligand binding and activation	Signal Transduction
fgfr1b ligand binding and activation	Signal Transduction
fgfr3b ligand binding and activation	Signal Transduction
fgfr1c ligand binding and activation	Signal Transduction
fgfr2c ligand binding and activation	Signal Transduction
fgfr2b ligand binding and activation	Signal Transduction
gap junction assembly	Vesicle-mediated transport
transport of connexons to the plasma membrane	Vesicle-mediated transport
gap junction degradation	Vesicle-mediated transport
pre notch processing in the endoplasmic reticulum	Signal Transduction
pre notch processing in golgi	Signal Transduction
pre notch expression and processing	Signal Transduction
cholesterol biosynthesis	Metabolism
snrnp assembly	Metabolism of RNA
synthesis of bile acids and bile salts	Metabolism
digestion of dietary lipid	Digestion and absorption
androgen biosynthesis	Metabolism
estrogen biosynthesis	Metabolism
synthesis of bile acids and bile salts via 7alpha hydroxycholesterol	Metabolism
p75ntr signals via nf kb	Signal Transduction
nrage signals death through jnk	Signal Transduction
p75ntr negatively regulates cell cycle via sc1	Signal Transduction
regulated proteolysis of p75ntr	Signal Transduction
p75ntr regulates axonogenesis	Signal Transduction
p75 ntr receptor mediated signalling	Signal Transduction
synthesis of bile acids and bile salts via 24 hydroxycholesterol	Metabolism
synthesis of bile acids and bile salts via 27 hydroxycholesterol	Metabolism
mineralocorticoid biosynthesis	Metabolism
glucocorticoid biosynthesis	Metabolism
bile acid and bile salt metabolism	Metabolism
signaling by vegf	Signal Transduction
vegf ligand receptor interactions	Signal Transduction
degradation of beta catenin by the destruction complex	Signal Transduction
rho gtpase effectors	Signal Transduction
signaling by wnt	Signal Transduction
metabolism of steroid hormones	Metabolism
pregnenolone biosynthesis	Metabolism
beta catenin phosphorylation cascade	Signal Transduction
grb2 events in erbb2 signaling	Signal Transduction
pi3k events in erbb2 signaling	Signal Transduction
cobalamin cbl vitamin b12 transport and metabolism	Metabolism
metabolism of folate and pterines	Metabolism
biotin transport and metabolism	Metabolism
coenzyme a biosynthesis	Metabolism
vitamin d calciferol metabolism	Metabolism
nicotinate metabolism	Metabolism
vitamin b1 thiamin metabolism	Metabolism
vitamin c ascorbate metabolism	Metabolism
vitamin b2 riboflavin metabolism	Metabolism
metabolism of water soluble vitamins and cofactors	Metabolism
metabolism of vitamins and cofactors	Metabolism
a tetrasaccharide linker sequence is required for gag synthesis	Metabolism
nicotinamide salvaging	Metabolism
signaling by notch1	Signal Transduction
signaling by notch2	Signal Transduction
pi3k akt activation	Signal Transduction
akt phosphorylates targets in the cytosol	Signal Transduction
akt phosphorylates targets in the nucleus	Signal Transduction
nuclear events kinase and transcription factor activation	Signal Transduction
erk mapk targets	Signal Transduction
erk mapk targets	Immune System
immunoregulatory interactions between a lymphoid and a non lymphoid cell	Immune System
vitamin b5 pantothenate metabolism	Metabolism
negative regulation of the pi3k akt network	Signal Transduction
creb phosphorylation	Signal Transduction
creb phosphorylation	Immune System
er to golgi anterograde transport	Metabolism of proteins
er to golgi anterograde transport	Vesicle-mediated transport
membrane trafficking	Vesicle-mediated transport
trans golgi network vesicle budding	Vesicle-mediated transport
carnitine metabolism	Metabolism
signaling by bmp	Signal Transduction
signaling by alk	Signal Transduction
tcf dependent signaling in response to wnt	Signal Transduction
wnt mediated activation of dvl	Signal Transduction
formation of the beta catenin tcf transactivating complex	Signal Transduction
g protein activation	Signal Transduction
metabolism of nitric oxide nos3 activation and regulation	Metabolism
assembly of collagen fibrils and other multimeric structures	Extracellular matrix organization
metabolism of angiotensinogen to angiotensins	Metabolism of proteins
keratan sulfate biosynthesis	Metabolism
keratan sulfate degradation	Metabolism
chondroitin sulfate biosynthesis	Metabolism
dermatan sulfate biosynthesis	Metabolism
hs gag biosynthesis	Metabolism
tcr signaling	Immune System
hs gag degradation	Metabolism
cs ds degradation	Metabolism
generation of second messenger molecules	Immune System
calcineurin activates nfat	Immune System
erks are inactivated	Signal Transduction
erks are inactivated	Immune System
cell surface interactions at the vascular wall	Hemostasis
signaling by hippo	Signal Transduction
fcgamma receptor fcgr dependent phagocytosis	Immune System
fcgr activation	Immune System
role of phospholipids in phagocytosis	Immune System
yap1 and wwtr1 taz stimulated gene expression	Gene expression (Transcription)
enos activation	Metabolism
nostrin mediated enos trafficking	Metabolism
microrna mirna biogenesis	Gene expression (Transcription)
copii mediated vesicle transport	Metabolism of proteins
copii mediated vesicle transport	Vesicle-mediated transport
regulation of pyruvate dehydrogenase pdh complex	Metabolism
alpha linolenic omega3 and linoleic omega6 acid metabolism	Metabolism
linoleic acid la metabolism	Metabolism
cell death signalling via nrage nrif and nade	Signal Transduction
nade modulates death signalling	Signal Transduction
nrif signals cell death from the nucleus	Signal Transduction
p75ntr recruits signalling complexes	Signal Transduction
nf kb is activated and signals survival	Signal Transduction
metabolism of amine derived hormones	Metabolism
serotonin and melatonin biosynthesis	Metabolism
peptide hormone biosynthesis	Metabolism of proteins
thyroxine biosynthesis	Metabolism
glutamate neurotransmitter release cycle	Neuronal System
regulation of gene expression in late stage branching morphogenesis pancreatic bud precursor cells	Developmental Biology
regulation of gene expression in beta cells	Developmental Biology
regulation of gene expression in endocrine committed neurog3 progenitor cells	Developmental Biology
regulation of gene expression in early pancreatic precursor cells	Developmental Biology
pecam1 interactions	Hemostasis
basigin interactions	Hemostasis
tie2 signaling	Hemostasis
gene silencing by rna	Gene expression (Transcription)
biological oxidations	Metabolism
cytochrome p450 arranged by substrate type	Metabolism
vitamins	Metabolism
fatty acids	Metabolism
phase i functionalization of compounds	Metabolism
miscellaneous substrates	Metabolism
endogenous sterols	Metabolism
eicosanoids	Metabolism
xenobiotics	Metabolism
cyp2e1 reactions	Metabolism
epigenetic regulation of gene expression	Gene expression (Transcription)
notch1 intracellular domain regulates transcription	Signal Transduction
activated notch1 transmits signal to the nucleus	Signal Transduction
prc2 methylates histones and dna	Gene expression (Transcription)
dopamine neurotransmitter release cycle	Neuronal System
egfr interacts with phospholipase c gamma	Signal Transduction
molecules associated with elastic fibres	Extracellular matrix organization
mhc class ii antigen presentation	Immune System
synthesis of epoxy eet and dihydroxyeicosatrienoic acids dhet	Metabolism
synthesis of 5 eicosatetraenoic acids	Metabolism
synthesis of leukotrienes lt and eoxins ex	Metabolism
synthesis of lipoxins lx	Metabolism
synthesis of 12 eicosatetraenoic acid derivatives	Metabolism
arachidonic acid metabolism	Metabolism
synthesis of 15 eicosatetraenoic acid derivatives	Metabolism
ubiquinol biosynthesis	Metabolism
synthesis of 16 20 hydroxyeicosatetraenoic acids hete	Metabolism
hyaluronan metabolism	Metabolism
hyaluronan biosynthesis and export	Metabolism
transcriptional activation of mitochondrial biogenesis	Organelle biogenesis and maintenance
activation of ppargc1a pgc 1alpha by phosphorylation	Organelle biogenesis and maintenance
integrin cell surface interactions	Extracellular matrix organization
hyaluronan uptake and degradation	Metabolism
abacavir transmembrane transport	Drug ADME
abacavir adme	Drug ADME
synthesis of prostaglandins pg and thromboxanes tx	Metabolism
scavenging of heme from plasma	Vesicle-mediated transport
dap12 interactions	Immune System
binding and uptake of ligands by scavenger receptors	Vesicle-mediated transport
downregulation of tgf beta receptor signaling	Signal Transduction
tgf beta receptor signaling activates smads	Signal Transduction
tgf beta receptor signaling in emt epithelial to mesenchymal transition	Signal Transduction
transcriptional activity of smad2 smad3 smad4 heterotrimer	Gene expression (Transcription)
transcriptional activity of smad2 smad3 smad4 heterotrimer	Signal Transduction
downregulation of smad2 3 smad4 transcriptional activity	Gene expression (Transcription)
downregulation of smad2 3 smad4 transcriptional activity	Signal Transduction
smad2 smad3 smad4 heterotrimer regulates transcription	Gene expression (Transcription)
smad2 smad3 smad4 heterotrimer regulates transcription	Signal Transduction
egfr transactivation by gastrin	Signal Transduction
the retinoid cycle in cones daylight vision	Sensory Perception
visual phototransduction	Sensory Perception
notch2 intracellular domain regulates transcription	Signal Transduction
mucopolysaccharidoses	Disease
anchoring fibril formation	Extracellular matrix organization
pi3k akt signaling in cancer	Disease
constitutive signaling by aberrant pi3k in cancer	Disease
crosslinking of collagen fibrils	Extracellular matrix organization
condensation of prophase chromosomes	Cell Cycle
phosphate bond hydrolysis by nudt proteins	Metabolism
signaling by type 1 insulin like growth factor 1 receptor igf1r	Signal Transduction
metabolism of ingested semet sec mesec into h2se	Metabolism
selenoamino acid metabolism	Metabolism
dap12 signaling	Immune System
activation of gene expression by srebf srebp	Metabolism
shc related events triggered by igf1r	Signal Transduction
retinoid cycle disease events	Disease
the canonical retinoid cycle in rods twilight vision	Sensory Perception
fc epsilon receptor fceri signaling	Immune System
mastl facilitates mitotic progression	Cell Cycle
separation of sister chromatids	Cell Cycle
establishment of sister chromatid cohesion	Cell Cycle
cohesin loading onto chromatin	Cell Cycle
activation of the phototransduction cascade	Sensory Perception
resolution of sister chromatid cohesion	Cell Cycle
condensation of prometaphase chromosomes	Cell Cycle
the phototransduction cascade	Sensory Perception
interaction with cumulus cells and the zona pellucida	Reproduction
mitotic metaphase and anaphase	Cell Cycle
oxidative stress induced senescence	Cellular responses to stimuli
senescence associated secretory phenotype sasp	Cellular responses to stimuli
cellular senescence	Cellular responses to stimuli
formation of senescence associated heterochromatin foci sahf	Cellular responses to stimuli
oncogene induced senescence	Cellular responses to stimuli
dna damage telomere stress induced senescence	Cellular responses to stimuli
trif mediated programmed cell death	Immune System
cytosolic iron sulfur cluster assembly	Metabolism
regulation of plk1 activity at g2 m transition	Cell Cycle
signaling by leptin	Signal Transduction
signaling by notch1 pest domain mutants in cancer	Disease
fbxw7 mutants and notch1 in cancer	Disease
acetylcholine neurotransmitter release cycle	Neuronal System
caspase mediated cleavage of cytoskeletal proteins	Programmed Cell Death
insulin processing	Metabolism of proteins
signaling by notch1 t 7 9 notch1 m1580 k2555 translocation mutant	Disease
stimuli sensing channels	Transport of small molecules
eph ephrin signaling	Developmental Biology
signaling by notch1 hd domain mutants in cancer	Disease
role of lat2 ntal lab on calcium mobilization	Immune System
ficolins bind to repetitive carbohydrate structures on the target cell surface	Immune System
fceri mediated mapk activation	Immune System
fceri mediated ca 2 mobilization	Immune System
fceri mediated nf kb activation	Immune System
pou5f1 oct4 sox2 nanog repress genes related to differentiation	Developmental Biology
pou5f1 oct4 sox2 nanog activate genes related to proliferation	Developmental Biology
notch2 activation and transmission of signal to the nucleus	Signal Transduction
peptide hormone metabolism	Metabolism of proteins
nuclear envelope breakdown	Cell Cycle
activation of nima kinases nek9 nek6 nek7	Cell Cycle
sumoylation	Metabolism of proteins
initiation of nuclear envelope ne reformation	Cell Cycle
nuclear envelope ne reassembly	Cell Cycle
laminin interactions	Extracellular matrix organization
syndecan interactions	Extracellular matrix organization
non integrin membrane ecm interactions	Extracellular matrix organization
ecm proteoglycans	Extracellular matrix organization
scavenging by class b receptors	Vesicle-mediated transport
scavenging by class a receptors	Vesicle-mediated transport
scavenging by class f receptors	Vesicle-mediated transport
sumo is conjugated to e1 uba2 sae1	Metabolism of proteins
sumo is transferred from e1 to e2 ube2i ubc9	Metabolism of proteins
sumo is proteolytically processed	Metabolism of proteins
sumoylation of dna damage response and repair proteins	Metabolism of proteins
dex h box helicases activate type i ifn and inflammatory cytokines production	Immune System
lrr flii interacting protein 1 lrrfip1 activates type i ifn production	Immune System
regulation of innate immune responses to cytosolic dna	Immune System
hdacs deacetylate histones	Chromatin organization
pkmts methylate histone lysines	Chromatin organization
hdms demethylate histones	Chromatin organization
hats acetylate histones	Chromatin organization
rmts methylate histone arginines	Chromatin organization
processing and activation of sumo	Metabolism of proteins
glycogen storage diseases	Disease
sumoylation of transcription factors	Metabolism of proteins
sumoylation of ubiquitinylation proteins	Metabolism of proteins
wnt ligand biogenesis and trafficking	Signal Transduction
chromatin modifying enzymes	Chromatin organization
irf3 mediated induction of type i ifn	Immune System
trp channels	Transport of small molecules
defects in cobalamin b12 metabolism	Disease
defects in vitamin and cofactor metabolism	Disease
detoxification of reactive oxygen species	Cellular responses to stimuli
nuclear pore complex npc disassembly	Cell Cycle
loss of function of smad2 3 in cancer	Disease
signaling by tgf beta receptor complex in cancer	Disease
glycogen synthesis	Metabolism
defects in biotin btn metabolism	Disease
regulation by c flip	Programmed Cell Death
regulation of hsf1 mediated heat shock response	Cellular responses to stimuli
hsp90 chaperone cycle for steroid hormone receptors shr in the presence of ligand	Cellular responses to stimuli
hsf1 activation	Cellular responses to stimuli
cellular response to heat stress	Cellular responses to stimuli
attenuation phase	Cellular responses to stimuli
hsf1 dependent transactivation	Cellular responses to stimuli
notch hlh transcription pathway	Gene expression (Transcription)
metabolism of polyamines	Metabolism
apoptotic cleavage of cell adhesion proteins	Programmed Cell Death
amino acid transport across the plasma membrane	Transport of small molecules
integrin signaling	Hemostasis
integrin signaling	Signal Transduction
grb2 sos provides linkage to mapk signaling for integrins	Hemostasis
grb2 sos provides linkage to mapk signaling for integrins	Signal Transduction
diseases associated with glycosaminoglycan metabolism	Disease
defective b4galt7 causes eds progeroid type	Disease
defective chst3 causes sedcjd	Disease
defective chst14 causes eds musculocontractural type	Disease
defective chsy1 causes tpbs	Disease
defective chst6 causes mcdc1	Disease
defective ext2 causes exostoses 2	Disease
defective st3gal3 causes mct12 and eiee15	Disease
defective b4galt1 causes b4galt1 cdg cdg 2d	Disease
transcriptional regulation by tp53	Gene expression (Transcription)
p130cas linkage to mapk signaling for integrins	Hemostasis
p130cas linkage to mapk signaling for integrins	Signal Transduction
signaling by gpcr	Signal Transduction
class a 1 rhodopsin like receptors	Signal Transduction
class b 2 secretin family receptors	Signal Transduction
netrin 1 signaling	Developmental Biology
nephrin family interactions	Cell-Cell communication
semaphorin interactions	Developmental Biology
l1cam interactions	Developmental Biology
ncam signaling for neurite out growth	Developmental Biology
peptide ligand binding receptors	Signal Transduction
amine ligand binding receptors	Signal Transduction
hormone ligand binding receptors	Signal Transduction
dscam interactions	Developmental Biology
signaling by robo receptors	Developmental Biology
deactivation of the beta catenin transactivating complex	Signal Transduction
negative regulation of tcf dependent signaling by wnt ligand antagonists	Signal Transduction
diseases associated with n glycosylation of proteins	Disease
diseases of glycosylation	Disease
myoclonic epilepsy of lafora	Disease
dopamine clearance from the synaptic cleft	Neuronal System
cytosolic trna aminoacylation	Metabolism of proteins
trna aminoacylation	Metabolism of proteins
mitochondrial trna aminoacylation	Metabolism of proteins
tachykinin receptors bind tachykinins	Signal Transduction
chemokine receptors bind chemokines	Signal Transduction
recruitment of mitotic centrosome proteins and complexes	Cell Cycle
recruitment of numa to mitotic centrosomes	Cell Cycle
energy dependent regulation of mtor by lkb1 ampk	Signal Transduction
