pathway	colors
cell surface interactions at the vascular wall	#7DCEA0
signaling by hippo	#1B2631
fcgamma receptor fcgr dependent phagocytosis	#7D6608
fcgr activation	#7D6608
role of phospholipids in phagocytosis	#7D6608
yap1 and wwtr1 taz stimulated gene expression	#2ECC71
enos activation	#F39C12
nostrin mediated enos trafficking	#F39C12
microrna mirna biogenesis	#2ECC71
copii mediated vesicle transport	#F7DC6F
copii mediated vesicle transport	#85929E
regulation of pyruvate dehydrogenase pdh complex	#F39C12
alpha linolenic omega3 and linoleic omega6 acid metabolism	#F39C12
linoleic acid la metabolism	#F39C12
cell death signalling via nrage nrif and nade	#1B2631
nade modulates death signalling	#1B2631
nrif signals cell death from the nucleus	#1B2631
p75ntr recruits signalling complexes	#1B2631
nf kb is activated and signals survival	#1B2631
metabolism of amine derived hormones	#F39C12
serotonin and melatonin biosynthesis	#F39C12
peptide hormone biosynthesis	#F7DC6F
thyroxine biosynthesis	#F39C12
glutamate neurotransmitter release cycle	#7B7D7D
regulation of gene expression in late stage branching morphogenesis pancreatic bud precursor cells	#154360
regulation of gene expression in beta cells	#154360
regulation of gene expression in endocrine committed neurog3 progenitor cells	#154360
regulation of gene expression in early pancreatic precursor cells	#154360
pecam1 interactions	#7DCEA0
basigin interactions	#7DCEA0
tie2 signaling	#7DCEA0
gene silencing by rna	#2ECC71
biological oxidations	#F39C12
cytochrome p450 arranged by substrate type	#F39C12
vitamins	#F39C12
fatty acids	#F39C12
phase i functionalization of compounds	#F39C12
miscellaneous substrates	#F39C12
endogenous sterols	#F39C12
eicosanoids	#F39C12
xenobiotics	#F39C12
cyp2e1 reactions	#F39C12
epigenetic regulation of gene expression	#2ECC71
notch1 intracellular domain regulates transcription	#1B2631
activated notch1 transmits signal to the nucleus	#1B2631
prc2 methylates histones and dna	#2ECC71
dopamine neurotransmitter release cycle	#7B7D7D
egfr interacts with phospholipase c gamma	#1B2631
molecules associated with elastic fibres	#145A32
mhc class ii antigen presentation	#7D6608
synthesis of epoxy eet and dihydroxyeicosatrienoic acids dhet	#F39C12
synthesis of 5 eicosatetraenoic acids	#F39C12
synthesis of leukotrienes lt and eoxins ex	#F39C12
synthesis of lipoxins lx	#F39C12
synthesis of 12 eicosatetraenoic acid derivatives	#F39C12
arachidonic acid metabolism	#F39C12
synthesis of 15 eicosatetraenoic acid derivatives	#F39C12
ubiquinol biosynthesis	#F39C12
synthesis of 16 20 hydroxyeicosatetraenoic acids hete	#F39C12
hyaluronan metabolism	#F39C12
hyaluronan biosynthesis and export	#F39C12
transcriptional activation of mitochondrial biogenesis	#BDC3C7
activation of ppargc1a pgc 1alpha by phosphorylation	#BDC3C7
integrin cell surface interactions	#145A32
hyaluronan uptake and degradation	#F39C12
abacavir transmembrane transport	#76D7C4
abacavir adme	#76D7C4
synthesis of prostaglandins pg and thromboxanes tx	#F39C12
scavenging of heme from plasma	#85929E
dap12 interactions	#7D6608
binding and uptake of ligands by scavenger receptors	#85929E
downregulation of tgf beta receptor signaling	#1B2631
tgf beta receptor signaling activates smads	#1B2631
tgf beta receptor signaling in emt epithelial to mesenchymal transition	#1B2631
transcriptional activity of smad2 smad3 smad4 heterotrimer	#2ECC71
transcriptional activity of smad2 smad3 smad4 heterotrimer	#1B2631
downregulation of smad2 3 smad4 transcriptional activity	#2ECC71
downregulation of smad2 3 smad4 transcriptional activity	#1B2631
smad2 smad3 smad4 heterotrimer regulates transcription	#2ECC71
smad2 smad3 smad4 heterotrimer regulates transcription	#1B2631
egfr transactivation by gastrin	#1B2631
the retinoid cycle in cones daylight vision	#BFC9CA
visual phototransduction	#BFC9CA
notch2 intracellular domain regulates transcription	#1B2631
mucopolysaccharidoses	#7FB3D5
anchoring fibril formation	#145A32
pi3k akt signaling in cancer	#7FB3D5
constitutive signaling by aberrant pi3k in cancer	#7FB3D5
crosslinking of collagen fibrils	#145A32
condensation of prophase chromosomes	#E74C3C
phosphate bond hydrolysis by nudt proteins	#F39C12
signaling by type 1 insulin like growth factor 1 receptor igf1r	#1B2631
metabolism of ingested semet sec mesec into h2se	#F39C12
selenoamino acid metabolism	#F39C12
dap12 signaling	#7D6608
activation of gene expression by srebf srebp	#F39C12
shc related events triggered by igf1r	#1B2631
retinoid cycle disease events	#7FB3D5
the canonical retinoid cycle in rods twilight vision	#BFC9CA
fc epsilon receptor fceri signaling	#7D6608
mastl facilitates mitotic progression	#E74C3C
separation of sister chromatids	#E74C3C
establishment of sister chromatid cohesion	#E74C3C
cohesin loading onto chromatin	#E74C3C
activation of the phototransduction cascade	#BFC9CA
resolution of sister chromatid cohesion	#E74C3C
condensation of prometaphase chromosomes	#E74C3C
the phototransduction cascade	#BFC9CA
interaction with cumulus cells and the zona pellucida	#7F8C8D
mitotic metaphase and anaphase	#E74C3C
oxidative stress induced senescence	#512E5F
senescence associated secretory phenotype sasp	#512E5F
cellular senescence	#512E5F
formation of senescence associated heterochromatin foci sahf	#512E5F
oncogene induced senescence	#512E5F
dna damage telomere stress induced senescence	#512E5F
trif mediated programmed cell death	#7D6608
cytosolic iron sulfur cluster assembly	#F39C12
regulation of plk1 activity at g2 m transition	#E74C3C
signaling by leptin	#1B2631
signaling by notch1 pest domain mutants in cancer	#7FB3D5
fbxw7 mutants and notch1 in cancer	#7FB3D5
acetylcholine neurotransmitter release cycle	#7B7D7D
caspase mediated cleavage of cytoskeletal proteins	#F4F6F7
insulin processing	#F7DC6F
signaling by notch1 t 7 9 notch1 m1580 k2555 translocation mutant	#7FB3D5
stimuli sensing channels	#2C3E50
eph ephrin signaling	#154360
signaling by notch1 hd domain mutants in cancer	#7FB3D5
role of lat2 ntal lab on calcium mobilization	#7D6608
ficolins bind to repetitive carbohydrate structures on the target cell surface	#7D6608
fceri mediated mapk activation	#7D6608
fceri mediated ca 2 mobilization	#7D6608
fceri mediated nf kb activation	#7D6608
pou5f1 oct4 sox2 nanog repress genes related to differentiation	#154360
pou5f1 oct4 sox2 nanog activate genes related to proliferation	#154360
notch2 activation and transmission of signal to the nucleus	#1B2631
peptide hormone metabolism	#F7DC6F
nuclear envelope breakdown	#E74C3C
activation of nima kinases nek9 nek6 nek7	#E74C3C
sumoylation	#F7DC6F
initiation of nuclear envelope ne reformation	#E74C3C
nuclear envelope ne reassembly	#E74C3C
laminin interactions	#145A32
syndecan interactions	#145A32
non integrin membrane ecm interactions	#145A32
ecm proteoglycans	#145A32
scavenging by class b receptors	#85929E
scavenging by class a receptors	#85929E
scavenging by class f receptors	#85929E
sumo is conjugated to e1 uba2 sae1	#F7DC6F
sumo is transferred from e1 to e2 ube2i ubc9	#F7DC6F
sumo is proteolytically processed	#F7DC6F
sumoylation of dna damage response and repair proteins	#F7DC6F
dex h box helicases activate type i ifn and inflammatory cytokines production	#7D6608
lrr flii interacting protein 1 lrrfip1 activates type i ifn production	#7D6608
regulation of innate immune responses to cytosolic dna	#7D6608
hdacs deacetylate histones	#8E44AD
pkmts methylate histone lysines	#8E44AD
hdms demethylate histones	#8E44AD
hats acetylate histones	#8E44AD
rmts methylate histone arginines	#8E44AD
processing and activation of sumo	#F7DC6F
glycogen storage diseases	#7FB3D5
sumoylation of transcription factors	#F7DC6F
sumoylation of ubiquitinylation proteins	#F7DC6F
wnt ligand biogenesis and trafficking	#1B2631
chromatin modifying enzymes	#8E44AD
irf3 mediated induction of type i ifn	#7D6608
trp channels	#2C3E50
defects in cobalamin b12 metabolism	#7FB3D5
defects in vitamin and cofactor metabolism	#7FB3D5
detoxification of reactive oxygen species	#512E5F
nuclear pore complex npc disassembly	#E74C3C
loss of function of smad2 3 in cancer	#7FB3D5
signaling by tgf beta receptor complex in cancer	#7FB3D5
glycogen synthesis	#F39C12
defects in biotin btn metabolism	#7FB3D5
regulation by c flip	#F4F6F7
regulation of hsf1 mediated heat shock response	#512E5F
hsp90 chaperone cycle for steroid hormone receptors shr in the presence of ligand	#512E5F
hsf1 activation	#512E5F
cellular response to heat stress	#512E5F
attenuation phase	#512E5F
hsf1 dependent transactivation	#512E5F
notch hlh transcription pathway	#2ECC71
metabolism of polyamines	#F39C12
apoptotic cleavage of cell adhesion proteins	#F4F6F7
amino acid transport across the plasma membrane	#2C3E50
integrin signaling	#7DCEA0
integrin signaling	#1B2631
grb2 sos provides linkage to mapk signaling for integrins	#7DCEA0
grb2 sos provides linkage to mapk signaling for integrins	#1B2631
diseases associated with glycosaminoglycan metabolism	#7FB3D5
defective b4galt7 causes eds progeroid type	#7FB3D5
defective chst3 causes sedcjd	#7FB3D5
defective chst14 causes eds musculocontractural type	#7FB3D5
defective chsy1 causes tpbs	#7FB3D5
defective chst6 causes mcdc1	#7FB3D5
defective ext2 causes exostoses 2	#7FB3D5
defective st3gal3 causes mct12 and eiee15	#7FB3D5
defective b4galt1 causes b4galt1 cdg cdg 2d	#7FB3D5
transcriptional regulation by tp53	#2ECC71
p130cas linkage to mapk signaling for integrins	#7DCEA0
p130cas linkage to mapk signaling for integrins	#1B2631
signaling by gpcr	#1B2631
class a 1 rhodopsin like receptors	#1B2631
class b 2 secretin family receptors	#1B2631
netrin 1 signaling	#154360
nephrin family interactions	#D98880
semaphorin interactions	#154360
l1cam interactions	#154360
ncam signaling for neurite out growth	#154360
peptide ligand binding receptors	#1B2631
amine ligand binding receptors	#1B2631
hormone ligand binding receptors	#1B2631
dscam interactions	#154360
signaling by robo receptors	#154360
deactivation of the beta catenin transactivating complex	#1B2631
negative regulation of tcf dependent signaling by wnt ligand antagonists	#1B2631
diseases associated with n glycosylation of proteins	#7FB3D5
diseases of glycosylation	#7FB3D5
myoclonic epilepsy of lafora	#7FB3D5
dopamine clearance from the synaptic cleft	#7B7D7D
cytosolic trna aminoacylation	#F7DC6F
trna aminoacylation	#F7DC6F
mitochondrial trna aminoacylation	#F7DC6F
tachykinin receptors bind tachykinins	#1B2631
chemokine receptors bind chemokines	#1B2631
recruitment of mitotic centrosome proteins and complexes	#E74C3C
recruitment of numa to mitotic centrosomes	#E74C3C
energy dependent regulation of mtor by lkb1 ampk	#1B2631
atf4 activates genes in response to endoplasmic reticulum stress	#512E5F
atf6 atf6 alpha activates chaperones	#512E5F
perk regulates gene expression	#512E5F
ire1alpha activates chaperones	#512E5F
unfolded protein response upr	#512E5F
atf6 atf6 alpha activates chaperone genes	#512E5F
transcriptional regulation of white adipocyte differentiation	#154360
regulation of insulin like growth factor igf transport and uptake by insulin like growth factor binding proteins igfbps	#F7DC6F
glucagon like peptide 1 glp1 regulates insulin secretion	#F39C12
olfactory signaling pathway	#BFC9CA
synthesis secretion and inactivation of glucagon like peptide 1 glp 1	#F7DC6F
transport of small molecules	#2C3E50
abc family proteins mediated transport	#2C3E50
nuclear receptor transcription pathway	#2ECC71
beta catenin independent wnt signaling	#1B2631
vasopressin like receptors	#1B2631
costimulation by the cd28 family	#7D6608
receptor type tyrosine protein phosphatases	#7B7D7D
cd28 co stimulation	#7D6608
cd28 dependent pi3k akt signaling	#7D6608
cd28 dependent vav1 pathway	#7D6608
orexin and neuropeptides ff and qrfp bind to their respective receptors	#1B2631
ctla4 inhibitory signaling	#7D6608
