Disease	pathway	sex	alteration	colors	id
Ulcerative colitis	binding and uptake of ligands by scavenger receptors	women	up	#B6453A	1
Ulcerative colitis	ncam1 interactions	women	up	#B6453A	1
Ulcerative colitis	elastic fibre formation	women	up	#B6453A	1
Ulcerative colitis	the role of nef in hiv 1 replication and disease pathogenesis	women	up	#B6453A	1
Ulcerative colitis	signaling by notch4	women	up	#B6453A	1
Ulcerative colitis	interleukin 12 signaling	women	up	#B6453A	1
Ulcerative colitis	transcriptional regulation by runx3	women	up	#B6453A	1
Ulcerative colitis	antiviral mechanism by ifn stimulated genes	women	up	#B6453A	1
Ulcerative colitis	transcriptional regulation by runx1	women	up	#B6453A	1
Ulcerative colitis	pd 1 signaling	women	up	#B6453A	1
Ulcerative colitis	dectin 2 family	women	up	#B6453A	1
Ulcerative colitis	tnfs bind their physiological receptors	women	up	#B6453A	1
Ulcerative colitis	cell surface interactions at the vascular wall	women	up	#B6453A	1
Ulcerative colitis	antimicrobial peptides	women	up	#B6453A	1
Ulcerative colitis	sars cov 2 activates modulates innate and adaptive immune responses	women	up	#B6453A	1
Ulcerative colitis	interleukin 2 family signaling	women	up	#B6453A	1
Ulcerative colitis	rho gtpases activate formins	women	up	#B6453A	1
Ulcerative colitis	class i mhc mediated antigen processing presentation	women	up	#B6453A	1
Ulcerative colitis	platelet activation signaling and aggregation	women	up	#B6453A	1
Ulcerative colitis	chondroitin sulfate dermatan sulfate metabolism	women	up	#B6453A	1
Ulcerative colitis	detoxification of reactive oxygen species	women	up	#B6453A	1
Ulcerative colitis	hemostasis	women	up	#B6453A	1
Ulcerative colitis	interferon gamma signaling	women	up	#B6453A	1
Ulcerative colitis	mhc class ii antigen presentation	women	up	#B6453A	1
Ulcerative colitis	non integrin membrane ecm interactions	women	up	#B6453A	1
Ulcerative colitis	meiotic recombination	women	up	#B6453A	1
Ulcerative colitis	glycosaminoglycan metabolism	women	up	#B6453A	1
Ulcerative colitis	syndecan interactions	women	up	#B6453A	1
Ulcerative colitis	perk regulates gene expression	women	up	#B6453A	1
Ulcerative colitis	dna strand elongation	women	up	#B6453A	1
Ulcerative colitis	platelet aggregation plug formation	women	up	#B6453A	1
Ulcerative colitis	response to elevated platelet cytosolic ca2	women	up	#B6453A	1
Ulcerative colitis	signaling by scf kit	women	up	#B6453A	1
Ulcerative colitis	anti inflammatory response favouring leishmania parasite infection	women	up	#B6453A	1
Ulcerative colitis	interleukin 3 interleukin 5 and gm csf signaling	women	up	#B6453A	1
Ulcerative colitis	nef mediates down modulation of cell surface receptors by recruiting them to clathrin adapters	women	up	#B6453A	1
Ulcerative colitis	interleukin 37 signaling	women	up	#B6453A	1
Ulcerative colitis	potential therapeutics for sars	women	up	#B6453A	1
Ulcerative colitis	signaling by csf3 g csf	women	up	#B6453A	1
Ulcerative colitis	sars cov infections	women	up	#B6453A	1
Ulcerative colitis	met promotes cell motility	women	up	#B6453A	1
Ulcerative colitis	leishmania infection	women	up	#B6453A	1
Ulcerative colitis	fceri mediated ca 2 mobilization	women	up	#B6453A	1
Ulcerative colitis	inactivation of csf3 g csf signaling	women	up	#B6453A	1
Ulcerative colitis	er to golgi anterograde transport	men	up	#4A75A9	1
Ulcerative colitis	copii mediated vesicle transport	men	up	#4A75A9	1
Ulcerative colitis	asparagine n linked glycosylation	men	up	#4A75A9	1
Ulcerative colitis	programmed cell death	men	up	#4A75A9	1
Ulcerative colitis	raf independent mapk1 3 activation	men	up	#4A75A9	1
Ulcerative colitis	transcriptional regulation by runx2	men	up	#4A75A9	1
Ulcerative colitis	hedgehog off state	men	up	#4A75A9	1
Ulcerative colitis	mapk6 mapk4 signaling	men	up	#4A75A9	1
Ulcerative colitis	transport to the golgi and subsequent modification	men	up	#4A75A9	1
Ulcerative colitis	abc family proteins mediated transport	men	up	#4A75A9	1
Ulcerative colitis	mitotic spindle checkpoint	men	up	#4A75A9	1
Ulcerative colitis	regulated necrosis	men	up	#4A75A9	1
Ulcerative colitis	apoptosis	men	up	#4A75A9	1
Ulcerative colitis	peroxisomal lipid metabolism	common	down	#19787F	1
Ulcerative colitis	respiratory electron transport	common	down	#19787F	1
Ulcerative colitis	the citric acid tca cycle and respiratory electron transport	common	down	#19787F	1
Ulcerative colitis	respiratory electron transport atp synthesis by chemiosmotic coupling and heat production by uncoupling proteins	common	down	#19787F	1
Ulcerative colitis	peroxisomal protein import	common	down	#19787F	1
Ulcerative colitis	citric acid cycle tca cycle	common	down	#19787F	1
Ulcerative colitis	glyoxylate metabolism and glycine degradation	common	down	#19787F	1
Ulcerative colitis	sars cov 1 modulates host translation machinery	women	down	#B6453A	1
Ulcerative colitis	eukaryotic translation elongation	women	down	#B6453A	1
Ulcerative colitis	selenoamino acid metabolism	women	down	#B6453A	1
Ulcerative colitis	response of eif2ak4 gcn2 to amino acid deficiency	women	down	#B6453A	1
Ulcerative colitis	nonsense mediated decay nmd	women	down	#B6453A	1
Ulcerative colitis	pyruvate metabolism and citric acid tca cycle	men	down	#4A75A9	1
Ulcerative colitis	mitochondrial fatty acid beta oxidation	men	down	#4A75A9	1
Ulcerative colitis	biological oxidations	men	down	#4A75A9	1
Crohn's disease	cholesterol biosynthesis	common	up	#19787F	2
Crohn's disease	antigen processing cross presentation	common	up	#19787F	2
Crohn's disease	interferon alpha beta signaling	common	up	#19787F	2
Crohn's disease	cross presentation of soluble exogenous antigens endosomes	common	up	#19787F	2
Crohn's disease	metabolism of polyamines	common	up	#19787F	2
Crohn's disease	scf skp2 mediated degradation of p27 p21	common	up	#19787F	2
Crohn's disease	hedgehog ligand biogenesis	common	up	#19787F	2
Crohn's disease	negative regulation of notch4 signaling	common	up	#19787F	2
Crohn's disease	g1 s dna damage checkpoints	common	up	#19787F	2
Crohn's disease	auf1 hnrnp d0 binds and destabilizes mrna	common	up	#19787F	2
Crohn's disease	nuclear events mediated by nfe2l2	common	up	#19787F	2
Crohn's disease	defective cftr causes cystic fibrosis	common	up	#19787F	2
Crohn's disease	degradation of gli1 by the proteasome	common	up	#19787F	2
Crohn's disease	dectin 1 mediated noncanonical nf kb signaling	common	up	#19787F	2
Crohn's disease	regulation of runx3 expression and activity	common	up	#19787F	2
Crohn's disease	interleukin 10 signaling	common	up	#19787F	2
Crohn's disease	apc c cdh1 mediated degradation of cdc20 and other apc c cdh1 targeted proteins in late mitosis early g1	common	up	#19787F	2
Crohn's disease	gluconeogenesis	common	up	#19787F	2
Crohn's disease	scf beta trcp mediated degradation of emi1	common	up	#19787F	2
Crohn's disease	cellular response to hypoxia	common	up	#19787F	2
Crohn's disease	interferon signaling	common	up	#19787F	2
Crohn's disease	interferon gamma signaling	common	up	#19787F	2
Crohn's disease	stabilization of p53	common	up	#19787F	2
Crohn's disease	orc1 removal from chromatin	common	up	#19787F	2
Crohn's disease	signaling by interleukins	common	up	#19787F	2
Crohn's disease	abc transporter disorders	common	up	#19787F	2
Crohn's disease	neutrophil degranulation	common	up	#19787F	2
Crohn's disease	keap1 nfe2l2 pathway	common	up	#19787F	2
Crohn's disease	interleukin 1 signaling	common	up	#19787F	2
Crohn's disease	degradation of axin	common	up	#19787F	2
Crohn's disease	interleukin 1 family signaling	common	up	#19787F	2
Crohn's disease	abc family proteins mediated transport	common	up	#19787F	2
Crohn's disease	regulation of ras by gaps	common	up	#19787F	2
Crohn's disease	the role of gtse1 in g2 m progression after g2 checkpoint	common	up	#19787F	2
Crohn's disease	tnfr2 non canonical nf kb pathway	common	up	#19787F	2
Crohn's disease	degradation of dvl	common	up	#19787F	2
Crohn's disease	clec7a dectin 1 signaling	common	up	#19787F	2
Crohn's disease	apc c mediated degradation of cell cycle proteins	common	up	#19787F	2
Crohn's disease	regulation of runx2 expression and activity	common	up	#19787F	2
Crohn's disease	cyclin a cdk2 associated events at s phase entry	common	up	#19787F	2
Crohn's disease	dna replication pre initiation	common	up	#19787F	2
Crohn's disease	fceri mediated nf kb activation	common	up	#19787F	2
Crohn's disease	downstream signaling events of b cell receptor bcr	common	up	#19787F	2
Crohn's disease	switching of origins to a post replicative state	common	up	#19787F	2
Crohn's disease	regulation of mrna stability by proteins that bind au rich elements	common	up	#19787F	2
Crohn's disease	dna replication	common	up	#19787F	2
Crohn's disease	transferrin endocytosis and recycling	women	up	#B6453A	2
Crohn's disease	ros and rns production in phagocytes	women	up	#B6453A	2
Crohn's disease	metabolism of steroids	women	up	#B6453A	2
Crohn's disease	nucleotide catabolism	women	up	#B6453A	2
Crohn's disease	caspase activation via extrinsic apoptotic signalling pathway	women	up	#B6453A	2
Crohn's disease	fatty acid metabolism	women	up	#B6453A	2
Crohn's disease	pyruvate metabolism and citric acid tca cycle	women	up	#B6453A	2
Crohn's disease	the citric acid tca cycle and respiratory electron transport	women	up	#B6453A	2
Crohn's disease	mitochondrial fatty acid beta oxidation	women	up	#B6453A	2
Crohn's disease	peroxisomal lipid metabolism	women	up	#B6453A	2
Crohn's disease	fatty acyl coa biosynthesis	women	up	#B6453A	2
Crohn's disease	cargo concentration in the er	women	up	#B6453A	2
Crohn's disease	iron uptake and transport	women	up	#B6453A	2
Crohn's disease	pyruvate metabolism	women	up	#B6453A	2
Crohn's disease	copii mediated vesicle transport	women	up	#B6453A	2
Crohn's disease	signaling by retinoic acid	women	up	#B6453A	2
Crohn's disease	triglyceride metabolism	women	up	#B6453A	2
Crohn's disease	runx1 regulates transcription of genes involved in differentiation of hscs	men	up	#4A75A9	2
Crohn's disease	regulation of pten stability and activity	men	up	#4A75A9	2
Crohn's disease	asymmetric localization of pcp proteins	men	up	#4A75A9	2
Crohn's disease	uch proteinases	men	up	#4A75A9	2
Crohn's disease	synthesis of dna	men	up	#4A75A9	2
Crohn's disease	separation of sister chromatids	men	up	#4A75A9	2
Crohn's disease	cellular response to chemical stress	men	up	#4A75A9	2
Crohn's disease	host interactions of hiv factors	men	up	#4A75A9	2
Crohn's disease	cell cycle checkpoints	men	up	#4A75A9	2
Crohn's disease	g2 m checkpoints	men	up	#4A75A9	2
Crohn's disease	pcp ce pathway	men	up	#4A75A9	2
Crohn's disease	tcr signaling	men	up	#4A75A9	2
Crohn's disease	mitotic metaphase and anaphase	men	up	#4A75A9	2
Crohn's disease	signaling by the b cell receptor bcr	men	up	#4A75A9	2
Crohn's disease	m phase	men	up	#4A75A9	2
Crohn's disease	mitotic g1 phase and g1 s transition	men	up	#4A75A9	2
Crohn's disease	cell cycle mitotic	men	up	#4A75A9	2
Crohn's disease	s phase	men	up	#4A75A9	2
Crohn's disease	c type lectin receptors clrs	men	up	#4A75A9	2
Crohn's disease	metabolism of vitamins and cofactors	men	up	#4A75A9	2
Crohn's disease	disorders of transmembrane transporters	men	up	#4A75A9	2
Crohn's disease	metabolism of water soluble vitamins and cofactors	men	up	#4A75A9	2
Crohn's disease	mitotic spindle checkpoint	men	up	#4A75A9	2
Crohn's disease	dna strand elongation	men	up	#4A75A9	2
Crohn's disease	interleukin 2 family signaling	men	up	#4A75A9	2
Crohn's disease	synthesis of active ubiquitin roles of e1 and e2 enzymes	men	up	#4A75A9	2
Crohn's disease	mitochondrial translation	men	up	#4A75A9	2
Crohn's disease	antigen processing cross presentation	common	up	#19787F	3
Crohn's disease	interferon alpha beta signaling	common	up	#19787F	3
Crohn's disease	cross presentation of soluble exogenous antigens endosomes	common	up	#19787F	3
Crohn's disease	metabolism of polyamines	common	up	#19787F	3
Crohn's disease	scf skp2 mediated degradation of p27 p21	common	up	#19787F	3
Crohn's disease	hedgehog ligand biogenesis	common	up	#19787F	3
Crohn's disease	interleukin 12 family signaling	common	up	#19787F	3
Crohn's disease	negative regulation of notch4 signaling	common	up	#19787F	3
Crohn's disease	antigen presentation folding assembly and peptide loading of class i mhc	common	up	#19787F	3
Crohn's disease	g1 s dna damage checkpoints	common	up	#19787F	3
Crohn's disease	auf1 hnrnp d0 binds and destabilizes mrna	common	up	#19787F	3
Crohn's disease	interleukin 12 signaling	common	up	#19787F	3
Crohn's disease	nuclear events mediated by nfe2l2	common	up	#19787F	3
Crohn's disease	defective cftr causes cystic fibrosis	common	up	#19787F	3
Crohn's disease	degradation of gli1 by the proteasome	common	up	#19787F	3
Crohn's disease	dectin 1 mediated noncanonical nf kb signaling	common	up	#19787F	3
Crohn's disease	regulation of runx3 expression and activity	common	up	#19787F	3
Crohn's disease	interleukin 10 signaling	common	up	#19787F	3
Crohn's disease	apc c cdh1 mediated degradation of cdc20 and other apc c cdh1 targeted proteins in late mitosis early g1	common	up	#19787F	3
Crohn's disease	scf beta trcp mediated degradation of emi1	common	up	#19787F	3
Crohn's disease	cellular response to hypoxia	common	up	#19787F	3
Crohn's disease	interferon signaling	common	up	#19787F	3
Crohn's disease	interferon gamma signaling	common	up	#19787F	3
Crohn's disease	stabilization of p53	common	up	#19787F	3
Crohn's disease	orc1 removal from chromatin	common	up	#19787F	3
Crohn's disease	ire1alpha activates chaperones	common	up	#19787F	3
Crohn's disease	signaling by interleukins	common	up	#19787F	3
Crohn's disease	abc transporter disorders	common	up	#19787F	3
Crohn's disease	neutrophil degranulation	common	up	#19787F	3
Crohn's disease	keap1 nfe2l2 pathway	common	up	#19787F	3
Crohn's disease	interleukin 1 signaling	common	up	#19787F	3
Crohn's disease	degradation of axin	common	up	#19787F	3
Crohn's disease	interleukin 1 family signaling	common	up	#19787F	3
Crohn's disease	regulation of ras by gaps	common	up	#19787F	3
Crohn's disease	cargo concentration in the er	common	up	#19787F	3
Crohn's disease	the role of gtse1 in g2 m progression after g2 checkpoint	common	up	#19787F	3
Crohn's disease	tnfr2 non canonical nf kb pathway	common	up	#19787F	3
Crohn's disease	degradation of dvl	common	up	#19787F	3
Crohn's disease	clec7a dectin 1 signaling	common	up	#19787F	3
Crohn's disease	apc c mediated degradation of cell cycle proteins	common	up	#19787F	3
Crohn's disease	regulation of runx2 expression and activity	common	up	#19787F	3
Crohn's disease	cyclin a cdk2 associated events at s phase entry	common	up	#19787F	3
Crohn's disease	dna replication pre initiation	common	up	#19787F	3
Crohn's disease	fceri mediated nf kb activation	common	up	#19787F	3
Crohn's disease	downstream signaling events of b cell receptor bcr	common	up	#19787F	3
Crohn's disease	switching of origins to a post replicative state	common	up	#19787F	3
Crohn's disease	regulation of mrna stability by proteins that bind au rich elements	common	up	#19787F	3
Crohn's disease	dna replication	common	up	#19787F	3
Crohn's disease	ros and rns production in phagocytes	women	up	#B6453A	3
Crohn's disease	runx1 regulates transcription of genes involved in differentiation of hscs	men	up	#4A75A9	3
Crohn's disease	regulation of pten stability and activity	men	up	#4A75A9	3
Crohn's disease	asymmetric localization of pcp proteins	men	up	#4A75A9	3
Crohn's disease	uch proteinases	men	up	#4A75A9	3
Crohn's disease	synthesis of dna	men	up	#4A75A9	3
Crohn's disease	mapk6 mapk4 signaling	men	up	#4A75A9	3
Crohn's disease	abc family proteins mediated transport	men	up	#4A75A9	3
Crohn's disease	separation of sister chromatids	men	up	#4A75A9	3
Crohn's disease	cellular response to chemical stress	men	up	#4A75A9	3
Crohn's disease	degradation of beta catenin by the destruction complex	men	up	#4A75A9	3
Crohn's disease	host interactions of hiv factors	men	up	#4A75A9	3
Crohn's disease	programmed cell death	men	up	#4A75A9	3
Crohn's disease	transcriptional regulation by runx2	men	up	#4A75A9	3
Crohn's disease	cell cycle checkpoints	men	up	#4A75A9	3
Crohn's disease	g2 m checkpoints	men	up	#4A75A9	3
Crohn's disease	pcp ce pathway	men	up	#4A75A9	3
Crohn's disease	tcr signaling	men	up	#4A75A9	3
Crohn's disease	hedgehog off state	men	up	#4A75A9	3
Crohn's disease	transcriptional regulation by runx3	men	up	#4A75A9	3
Crohn's disease	mitotic metaphase and anaphase	men	up	#4A75A9	3
Crohn's disease	signaling by notch4	men	up	#4A75A9	3
Crohn's disease	signaling by the b cell receptor bcr	men	up	#4A75A9	3
Crohn's disease	mitotic g2 g2 m phases	men	up	#4A75A9	3
Crohn's disease	hedgehog on state	men	up	#4A75A9	3
Crohn's disease	m phase	men	up	#4A75A9	3
Crohn's disease	apoptosis	men	up	#4A75A9	3
Crohn's disease	signaling by hedgehog	men	up	#4A75A9	3
Crohn's disease	ub specific processing proteases	men	up	#4A75A9	3
Crohn's disease	class i mhc mediated antigen processing presentation	men	up	#4A75A9	3
Crohn's disease	mitotic g1 phase and g1 s transition	men	up	#4A75A9	3
Crohn's disease	cell cycle mitotic	men	up	#4A75A9	3
Crohn's disease	s phase	men	up	#4A75A9	3
Crohn's disease	beta catenin independent wnt signaling	men	up	#4A75A9	3
Crohn's disease	c type lectin receptors clrs	men	up	#4A75A9	3
Crohn's disease	pten regulation	men	up	#4A75A9	3
Crohn's disease	deubiquitination	men	up	#4A75A9	3
Crohn's disease	gene and protein expression by jak stat signaling after interleukin 12 stimulation	men	up	#4A75A9	3
Crohn's disease	disorders of transmembrane transporters	men	up	#4A75A9	3
Crohn's disease	antigen processing ubiquitination proteasome degradation	men	up	#4A75A9	3
Crohn's disease	fc epsilon receptor fceri signaling	men	up	#4A75A9	3
Crohn's disease	er to golgi anterograde transport	men	up	#4A75A9	3
Crohn's disease	metabolism of water soluble vitamins and cofactors	men	up	#4A75A9	3
Crohn's disease	hiv infection	men	up	#4A75A9	3
Crohn's disease	regulated necrosis	men	up	#4A75A9	3
Crohn's disease	intrinsic pathway for apoptosis	men	up	#4A75A9	3
Crohn's disease	pyroptosis	men	up	#4A75A9	3
Crohn's disease	interleukin 4 and interleukin 13 signaling	men	up	#4A75A9	3
Crohn's disease	mitotic spindle checkpoint	men	up	#4A75A9	3
Crohn's disease	transport to the golgi and subsequent modification	men	up	#4A75A9	3
Crohn's disease	copii mediated vesicle transport	men	up	#4A75A9	3
Crohn's disease	transcriptional regulation by runx1	men	up	#4A75A9	3
Crohn's disease	interleukin 2 family signaling	men	up	#4A75A9	3
Crohn's disease	unfolded protein response upr	men	up	#4A75A9	3
Crohn's disease	assembly of collagen fibrils and other multimeric structures	men	up	#4A75A9	3
Crohn's disease	signaling by scf kit	men	up	#4A75A9	3
Crohn's disease	raf independent mapk1 3 activation	men	up	#4A75A9	3
Crohn's disease	antiviral mechanism by ifn stimulated genes	men	up	#4A75A9	3
Crohn's disease	platelet aggregation plug formation	men	up	#4A75A9	3
Crohn's disease	eukaryotic translation elongation	common	down	#19787F	3
Crohn's disease	nonsense mediated decay nmd	common	down	#19787F	3
Crohn's disease	response of eif2ak4 gcn2 to amino acid deficiency	common	down	#19787F	3
Crohn's disease	eukaryotic translation initiation	common	down	#19787F	3
Crohn's disease	selenoamino acid metabolism	common	down	#19787F	3
Crohn's disease	sars cov 1 modulates host translation machinery	common	down	#19787F	3
Crohn's disease	activation of the mrna upon binding of the cap binding complex and eifs and subsequent binding to 43s	common	down	#19787F	3
Crohn's disease	regulation of beta cell development	women	down	#B6453A	3
Crohn's disease	antigen processing cross presentation	common	up	#19787F	4
Crohn's disease	interferon alpha beta signaling	common	up	#19787F	4
Crohn's disease	cross presentation of soluble exogenous antigens endosomes	common	up	#19787F	4
Crohn's disease	metabolism of polyamines	common	up	#19787F	4
Crohn's disease	scf skp2 mediated degradation of p27 p21	common	up	#19787F	4
Crohn's disease	hedgehog ligand biogenesis	common	up	#19787F	4
Crohn's disease	interleukin 12 family signaling	common	up	#19787F	4
Crohn's disease	negative regulation of notch4 signaling	common	up	#19787F	4
Crohn's disease	g1 s dna damage checkpoints	common	up	#19787F	4
Crohn's disease	auf1 hnrnp d0 binds and destabilizes mrna	common	up	#19787F	4
Crohn's disease	nuclear events mediated by nfe2l2	common	up	#19787F	4
Crohn's disease	defective cftr causes cystic fibrosis	common	up	#19787F	4
Crohn's disease	degradation of gli1 by the proteasome	common	up	#19787F	4
Crohn's disease	dectin 1 mediated noncanonical nf kb signaling	common	up	#19787F	4
Crohn's disease	regulation of runx3 expression and activity	common	up	#19787F	4
Crohn's disease	interleukin 10 signaling	common	up	#19787F	4
Crohn's disease	apc c cdh1 mediated degradation of cdc20 and other apc c cdh1 targeted proteins in late mitosis early g1	common	up	#19787F	4
Crohn's disease	scf beta trcp mediated degradation of emi1	common	up	#19787F	4
Crohn's disease	cellular response to hypoxia	common	up	#19787F	4
Crohn's disease	interferon signaling	common	up	#19787F	4
Crohn's disease	stabilization of p53	common	up	#19787F	4
Crohn's disease	orc1 removal from chromatin	common	up	#19787F	4
Crohn's disease	ire1alpha activates chaperones	common	up	#19787F	4
Crohn's disease	signaling by interleukins	common	up	#19787F	4
Crohn's disease	abc transporter disorders	common	up	#19787F	4
Crohn's disease	interleukin 1 signaling	common	up	#19787F	4
Crohn's disease	degradation of axin	common	up	#19787F	4
Crohn's disease	interleukin 1 family signaling	common	up	#19787F	4
Crohn's disease	abc family proteins mediated transport	common	up	#19787F	4
Crohn's disease	regulation of ras by gaps	common	up	#19787F	4
Crohn's disease	cargo concentration in the er	common	up	#19787F	4
Crohn's disease	the role of gtse1 in g2 m progression after g2 checkpoint	common	up	#19787F	4
