Disease	pathway	sex	alteration	colors	id
K51	transcriptional regulation by runx2	men	up	#4A75A9	1
K51	hedgehog off state	men	up	#4A75A9	1
K51	mapk6 mapk4 signaling	men	up	#4A75A9	1
K51	transport to the golgi and subsequent modification	men	up	#4A75A9	1
K51	abc family proteins mediated transport	men	up	#4A75A9	1
K51	mitotic spindle checkpoint	men	up	#4A75A9	1
K51	regulated necrosis	men	up	#4A75A9	1
K51	apoptosis	men	up	#4A75A9	1
K51	peroxisomal lipid metabolism	common	down	#19787F	1
K51	respiratory electron transport	common	down	#19787F	1
K51	the citric acid tca cycle and respiratory electron transport	common	down	#19787F	1
K51	respiratory electron transport atp synthesis by chemiosmotic coupling and heat production by uncoupling proteins	common	down	#19787F	1
K51	peroxisomal protein import	common	down	#19787F	1
K51	citric acid cycle tca cycle	common	down	#19787F	1
K51	glyoxylate metabolism and glycine degradation	common	down	#19787F	1
K51	sars cov 1 modulates host translation machinery	women	down	#B6453A	1
K51	eukaryotic translation elongation	women	down	#B6453A	1
K51	selenoamino acid metabolism	women	down	#B6453A	1
K51	response of eif2ak4 gcn2 to amino acid deficiency	women	down	#B6453A	1
K51	nonsense mediated decay nmd	women	down	#B6453A	1
K51	pyruvate metabolism and citric acid tca cycle	men	down	#4A75A9	1
K51	mitochondrial fatty acid beta oxidation	men	down	#4A75A9	1
K51	biological oxidations	men	down	#4A75A9	1
K50	cholesterol biosynthesis	common	up	#19787F	2
K50	antigen processing cross presentation	common	up	#19787F	2
K50	interferon alpha beta signaling	common	up	#19787F	2
K50	cross presentation of soluble exogenous antigens endosomes	common	up	#19787F	2
K50	metabolism of polyamines	common	up	#19787F	2
K50	scf skp2 mediated degradation of p27 p21	common	up	#19787F	2
K50	hedgehog ligand biogenesis	common	up	#19787F	2
K50	negative regulation of notch4 signaling	common	up	#19787F	2
K50	g1 s dna damage checkpoints	common	up	#19787F	2
K50	auf1 hnrnp d0 binds and destabilizes mrna	common	up	#19787F	2
K50	nuclear events mediated by nfe2l2	common	up	#19787F	2
K50	defective cftr causes cystic fibrosis	common	up	#19787F	2
K50	degradation of gli1 by the proteasome	common	up	#19787F	2
K50	dectin 1 mediated noncanonical nf kb signaling	common	up	#19787F	2
K50	regulation of runx3 expression and activity	common	up	#19787F	2
K50	interleukin 10 signaling	common	up	#19787F	2
K50	apc c cdh1 mediated degradation of cdc20 and other apc c cdh1 targeted proteins in late mitosis early g1	common	up	#19787F	2
K50	gluconeogenesis	common	up	#19787F	2
K50	scf beta trcp mediated degradation of emi1	common	up	#19787F	2
K50	cellular response to hypoxia	common	up	#19787F	2
K50	interferon signaling	common	up	#19787F	2
K50	interferon gamma signaling	common	up	#19787F	2
K50	stabilization of p53	common	up	#19787F	2
K50	orc1 removal from chromatin	common	up	#19787F	2
K50	signaling by interleukins	common	up	#19787F	2
K50	abc transporter disorders	common	up	#19787F	2
K50	neutrophil degranulation	common	up	#19787F	2
K50	keap1 nfe2l2 pathway	common	up	#19787F	2
K50	interleukin 1 signaling	common	up	#19787F	2
K50	degradation of axin	common	up	#19787F	2
K50	interleukin 1 family signaling	common	up	#19787F	2
K50	abc family proteins mediated transport	common	up	#19787F	2
K50	regulation of ras by gaps	common	up	#19787F	2
K50	the role of gtse1 in g2 m progression after g2 checkpoint	common	up	#19787F	2
K50	tnfr2 non canonical nf kb pathway	common	up	#19787F	2
K50	degradation of dvl	common	up	#19787F	2
K50	clec7a dectin 1 signaling	common	up	#19787F	2
K50	apc c mediated degradation of cell cycle proteins	common	up	#19787F	2
K50	regulation of runx2 expression and activity	common	up	#19787F	2
K50	cyclin a cdk2 associated events at s phase entry	common	up	#19787F	2
K50	dna replication pre initiation	common	up	#19787F	2
K50	fceri mediated nf kb activation	common	up	#19787F	2
K50	downstream signaling events of b cell receptor bcr	common	up	#19787F	2
K50	switching of origins to a post replicative state	common	up	#19787F	2
K50	regulation of mrna stability by proteins that bind au rich elements	common	up	#19787F	2
K50	dna replication	common	up	#19787F	2
K50	transferrin endocytosis and recycling	women	up	#B6453A	2
K50	ros and rns production in phagocytes	women	up	#B6453A	2
K50	metabolism of steroids	women	up	#B6453A	2
K50	nucleotide catabolism	women	up	#B6453A	2
K50	caspase activation via extrinsic apoptotic signalling pathway	women	up	#B6453A	2
K50	fatty acid metabolism	women	up	#B6453A	2
K50	pyruvate metabolism and citric acid tca cycle	women	up	#B6453A	2
K50	the citric acid tca cycle and respiratory electron transport	women	up	#B6453A	2
K50	mitochondrial fatty acid beta oxidation	women	up	#B6453A	2
K50	peroxisomal lipid metabolism	women	up	#B6453A	2
K50	fatty acyl coa biosynthesis	women	up	#B6453A	2
K50	cargo concentration in the er	women	up	#B6453A	2
K50	iron uptake and transport	women	up	#B6453A	2
K50	pyruvate metabolism	women	up	#B6453A	2
K50	copii mediated vesicle transport	women	up	#B6453A	2
K50	signaling by retinoic acid	women	up	#B6453A	2
K50	triglyceride metabolism	women	up	#B6453A	2
K50	runx1 regulates transcription of genes involved in differentiation of hscs	men	up	#4A75A9	2
K50	regulation of pten stability and activity	men	up	#4A75A9	2
K50	asymmetric localization of pcp proteins	men	up	#4A75A9	2
K50	uch proteinases	men	up	#4A75A9	2
K50	synthesis of dna	men	up	#4A75A9	2
K50	separation of sister chromatids	men	up	#4A75A9	2
K50	cellular response to chemical stress	men	up	#4A75A9	2
K50	host interactions of hiv factors	men	up	#4A75A9	2
K50	cell cycle checkpoints	men	up	#4A75A9	2
K50	g2 m checkpoints	men	up	#4A75A9	2
K50	pcp ce pathway	men	up	#4A75A9	2
K50	tcr signaling	men	up	#4A75A9	2
K50	mitotic metaphase and anaphase	men	up	#4A75A9	2
K50	signaling by the b cell receptor bcr	men	up	#4A75A9	2
K50	m phase	men	up	#4A75A9	2
K50	mitotic g1 phase and g1 s transition	men	up	#4A75A9	2
K50	cell cycle mitotic	men	up	#4A75A9	2
K50	s phase	men	up	#4A75A9	2
K50	c type lectin receptors clrs	men	up	#4A75A9	2
K50	metabolism of vitamins and cofactors	men	up	#4A75A9	2
K50	disorders of transmembrane transporters	men	up	#4A75A9	2
K50	metabolism of water soluble vitamins and cofactors	men	up	#4A75A9	2
K50	mitotic spindle checkpoint	men	up	#4A75A9	2
K50	dna strand elongation	men	up	#4A75A9	2
K50	interleukin 2 family signaling	men	up	#4A75A9	2
K50	synthesis of active ubiquitin roles of e1 and e2 enzymes	men	up	#4A75A9	2
K50	mitochondrial translation	men	up	#4A75A9	2
K50	antigen processing cross presentation	common	up	#19787F	3
K50	interferon alpha beta signaling	common	up	#19787F	3
K50	cross presentation of soluble exogenous antigens endosomes	common	up	#19787F	3
K50	metabolism of polyamines	common	up	#19787F	3
K50	scf skp2 mediated degradation of p27 p21	common	up	#19787F	3
K50	hedgehog ligand biogenesis	common	up	#19787F	3
K50	interleukin 12 family signaling	common	up	#19787F	3
K50	negative regulation of notch4 signaling	common	up	#19787F	3
K50	antigen presentation folding assembly and peptide loading of class i mhc	common	up	#19787F	3
K50	g1 s dna damage checkpoints	common	up	#19787F	3
K50	auf1 hnrnp d0 binds and destabilizes mrna	common	up	#19787F	3
K50	interleukin 12 signaling	common	up	#19787F	3
K50	nuclear events mediated by nfe2l2	common	up	#19787F	3
K50	defective cftr causes cystic fibrosis	common	up	#19787F	3
K50	degradation of gli1 by the proteasome	common	up	#19787F	3
K50	dectin 1 mediated noncanonical nf kb signaling	common	up	#19787F	3
K50	regulation of runx3 expression and activity	common	up	#19787F	3
K50	interleukin 10 signaling	common	up	#19787F	3
K50	apc c cdh1 mediated degradation of cdc20 and other apc c cdh1 targeted proteins in late mitosis early g1	common	up	#19787F	3
K50	scf beta trcp mediated degradation of emi1	common	up	#19787F	3
K50	cellular response to hypoxia	common	up	#19787F	3
K50	interferon signaling	common	up	#19787F	3
K50	interferon gamma signaling	common	up	#19787F	3
K50	stabilization of p53	common	up	#19787F	3
K50	orc1 removal from chromatin	common	up	#19787F	3
K50	ire1alpha activates chaperones	common	up	#19787F	3
K50	signaling by interleukins	common	up	#19787F	3
K50	abc transporter disorders	common	up	#19787F	3
K50	neutrophil degranulation	common	up	#19787F	3
K50	keap1 nfe2l2 pathway	common	up	#19787F	3
K50	interleukin 1 signaling	common	up	#19787F	3
K50	degradation of axin	common	up	#19787F	3
K50	interleukin 1 family signaling	common	up	#19787F	3
K50	regulation of ras by gaps	common	up	#19787F	3
K50	cargo concentration in the er	common	up	#19787F	3
K50	the role of gtse1 in g2 m progression after g2 checkpoint	common	up	#19787F	3
K50	tnfr2 non canonical nf kb pathway	common	up	#19787F	3
K50	degradation of dvl	common	up	#19787F	3
K50	clec7a dectin 1 signaling	common	up	#19787F	3
K50	apc c mediated degradation of cell cycle proteins	common	up	#19787F	3
K50	regulation of runx2 expression and activity	common	up	#19787F	3
K50	cyclin a cdk2 associated events at s phase entry	common	up	#19787F	3
K50	dna replication pre initiation	common	up	#19787F	3
K50	fceri mediated nf kb activation	common	up	#19787F	3
K50	downstream signaling events of b cell receptor bcr	common	up	#19787F	3
K50	switching of origins to a post replicative state	common	up	#19787F	3
K50	regulation of mrna stability by proteins that bind au rich elements	common	up	#19787F	3
K50	dna replication	common	up	#19787F	3
K50	ros and rns production in phagocytes	women	up	#B6453A	3
K50	runx1 regulates transcription of genes involved in differentiation of hscs	men	up	#4A75A9	3
K50	regulation of pten stability and activity	men	up	#4A75A9	3
K50	asymmetric localization of pcp proteins	men	up	#4A75A9	3
K50	uch proteinases	men	up	#4A75A9	3
K50	synthesis of dna	men	up	#4A75A9	3
K50	mapk6 mapk4 signaling	men	up	#4A75A9	3
K50	abc family proteins mediated transport	men	up	#4A75A9	3
K50	separation of sister chromatids	men	up	#4A75A9	3
K50	cellular response to chemical stress	men	up	#4A75A9	3
K50	degradation of beta catenin by the destruction complex	men	up	#4A75A9	3
K50	host interactions of hiv factors	men	up	#4A75A9	3
K50	programmed cell death	men	up	#4A75A9	3
K50	transcriptional regulation by runx2	men	up	#4A75A9	3
K50	cell cycle checkpoints	men	up	#4A75A9	3
K50	g2 m checkpoints	men	up	#4A75A9	3
K50	pcp ce pathway	men	up	#4A75A9	3
K50	tcr signaling	men	up	#4A75A9	3
K50	hedgehog off state	men	up	#4A75A9	3
K50	transcriptional regulation by runx3	men	up	#4A75A9	3
K50	mitotic metaphase and anaphase	men	up	#4A75A9	3
K50	signaling by notch4	men	up	#4A75A9	3
K50	signaling by the b cell receptor bcr	men	up	#4A75A9	3
K50	mitotic g2 g2 m phases	men	up	#4A75A9	3
K50	hedgehog on state	men	up	#4A75A9	3
K50	m phase	men	up	#4A75A9	3
K50	apoptosis	men	up	#4A75A9	3
K50	signaling by hedgehog	men	up	#4A75A9	3
K50	ub specific processing proteases	men	up	#4A75A9	3
K50	class i mhc mediated antigen processing presentation	men	up	#4A75A9	3
K50	mitotic g1 phase and g1 s transition	men	up	#4A75A9	3
K50	cell cycle mitotic	men	up	#4A75A9	3
K50	s phase	men	up	#4A75A9	3
K50	beta catenin independent wnt signaling	men	up	#4A75A9	3
K50	c type lectin receptors clrs	men	up	#4A75A9	3
K50	pten regulation	men	up	#4A75A9	3
K50	deubiquitination	men	up	#4A75A9	3
K50	gene and protein expression by jak stat signaling after interleukin 12 stimulation	men	up	#4A75A9	3
K50	disorders of transmembrane transporters	men	up	#4A75A9	3
K50	antigen processing ubiquitination proteasome degradation	men	up	#4A75A9	3
K50	fc epsilon receptor fceri signaling	men	up	#4A75A9	3
K50	er to golgi anterograde transport	men	up	#4A75A9	3
K50	metabolism of water soluble vitamins and cofactors	men	up	#4A75A9	3
K50	hiv infection	men	up	#4A75A9	3
K50	regulated necrosis	men	up	#4A75A9	3
K50	intrinsic pathway for apoptosis	men	up	#4A75A9	3
K50	pyroptosis	men	up	#4A75A9	3
K50	interleukin 4 and interleukin 13 signaling	men	up	#4A75A9	3
K50	mitotic spindle checkpoint	men	up	#4A75A9	3
K50	transport to the golgi and subsequent modification	men	up	#4A75A9	3
K50	copii mediated vesicle transport	men	up	#4A75A9	3
K50	transcriptional regulation by runx1	men	up	#4A75A9	3
K50	interleukin 2 family signaling	men	up	#4A75A9	3
K50	unfolded protein response upr	men	up	#4A75A9	3
K50	assembly of collagen fibrils and other multimeric structures	men	up	#4A75A9	3
K50	signaling by scf kit	men	up	#4A75A9	3
K50	raf independent mapk1 3 activation	men	up	#4A75A9	3
K50	antiviral mechanism by ifn stimulated genes	men	up	#4A75A9	3
K50	platelet aggregation plug formation	men	up	#4A75A9	3
K50	eukaryotic translation elongation	common	down	#19787F	3
K50	nonsense mediated decay nmd	common	down	#19787F	3
K50	response of eif2ak4 gcn2 to amino acid deficiency	common	down	#19787F	3
K50	eukaryotic translation initiation	common	down	#19787F	3
K50	selenoamino acid metabolism	common	down	#19787F	3
K50	sars cov 1 modulates host translation machinery	common	down	#19787F	3
K50	activation of the mrna upon binding of the cap binding complex and eifs and subsequent binding to 43s	common	down	#19787F	3
K50	regulation of beta cell development	women	down	#B6453A	3
K50	antigen processing cross presentation	common	up	#19787F	4
K50	interferon alpha beta signaling	common	up	#19787F	4
K50	cross presentation of soluble exogenous antigens endosomes	common	up	#19787F	4
K50	metabolism of polyamines	common	up	#19787F	4
K50	scf skp2 mediated degradation of p27 p21	common	up	#19787F	4
K50	hedgehog ligand biogenesis	common	up	#19787F	4
K50	interleukin 12 family signaling	common	up	#19787F	4
K50	negative regulation of notch4 signaling	common	up	#19787F	4
K50	g1 s dna damage checkpoints	common	up	#19787F	4
K50	auf1 hnrnp d0 binds and destabilizes mrna	common	up	#19787F	4
K50	nuclear events mediated by nfe2l2	common	up	#19787F	4
K50	defective cftr causes cystic fibrosis	common	up	#19787F	4
K50	degradation of gli1 by the proteasome	common	up	#19787F	4
K50	dectin 1 mediated noncanonical nf kb signaling	common	up	#19787F	4
K50	regulation of runx3 expression and activity	common	up	#19787F	4
K50	interleukin 10 signaling	common	up	#19787F	4
K50	apc c cdh1 mediated degradation of cdc20 and other apc c cdh1 targeted proteins in late mitosis early g1	common	up	#19787F	4
K50	scf beta trcp mediated degradation of emi1	common	up	#19787F	4
K50	cellular response to hypoxia	common	up	#19787F	4
K50	interferon signaling	common	up	#19787F	4
K50	stabilization of p53	common	up	#19787F	4
K50	orc1 removal from chromatin	common	up	#19787F	4
K50	ire1alpha activates chaperones	common	up	#19787F	4
K50	signaling by interleukins	common	up	#19787F	4
K50	abc transporter disorders	common	up	#19787F	4
K50	interleukin 1 signaling	common	up	#19787F	4
K50	degradation of axin	common	up	#19787F	4
K50	interleukin 1 family signaling	common	up	#19787F	4
K50	abc family proteins mediated transport	common	up	#19787F	4
K50	regulation of ras by gaps	common	up	#19787F	4
K50	cargo concentration in the er	common	up	#19787F	4
K50	the role of gtse1 in g2 m progression after g2 checkpoint	common	up	#19787F	4
K50	tnfr2 non canonical nf kb pathway	common	up	#19787F	4
K50	degradation of dvl	common	up	#19787F	4
K50	clec7a dectin 1 signaling	common	up	#19787F	4
K50	apc c mediated degradation of cell cycle proteins	common	up	#19787F	4
K50	regulation of runx2 expression and activity	common	up	#19787F	4
K50	copii mediated vesicle transport	common	up	#19787F	4
K50	cyclin a cdk2 associated events at s phase entry	common	up	#19787F	4
K50	dna replication pre initiation	common	up	#19787F	4
K50	fceri mediated nf kb activation	common	up	#19787F	4
K50	downstream signaling events of b cell receptor bcr	common	up	#19787F	4
K50	switching of origins to a post replicative state	common	up	#19787F	4
K50	regulation of mrna stability by proteins that bind au rich elements	common	up	#19787F	4
K50	dna replication	common	up	#19787F	4
K50	ros and rns production in phagocytes	women	up	#B6453A	4
K50	gene and protein expression by jak stat signaling after interleukin 12 stimulation	women	up	#B6453A	4
K50	interleukin 12 signaling	women	up	#B6453A	4
K50	interferon gamma signaling	women	up	#B6453A	4
K50	neutrophil degranulation	women	up	#B6453A	4
K50	keap1 nfe2l2 pathway	women	up	#B6453A	4
K50	metabolism of nucleotides	women	up	#B6453A	4
K50	interconversion of nucleotide di and triphosphates	women	up	#B6453A	4
K50	fatty acyl coa biosynthesis	women	up	#B6453A	4
K50	nucleotide salvage	women	up	#B6453A	4
K50	runx1 regulates transcription of genes involved in differentiation of hscs	men	up	#4A75A9	4
K50	regulation of pten stability and activity	men	up	#4A75A9	4
K50	asymmetric localization of pcp proteins	men	up	#4A75A9	4
K50	uch proteinases	men	up	#4A75A9	4
K50	synthesis of dna	men	up	#4A75A9	4
K50	mapk6 mapk4 signaling	men	up	#4A75A9	4
K50	separation of sister chromatids	men	up	#4A75A9	4
K50	host interactions of hiv factors	men	up	#4A75A9	4
K50	programmed cell death	men	up	#4A75A9	4
K50	transcriptional regulation by runx2	men	up	#4A75A9	4
K50	cell cycle checkpoints	men	up	#4A75A9	4
K50	g2 m checkpoints	men	up	#4A75A9	4
K50	pcp ce pathway	men	up	#4A75A9	4
K50	tcr signaling	men	up	#4A75A9	4
K50	hedgehog off state	men	up	#4A75A9	4
K50	mitotic metaphase and anaphase	men	up	#4A75A9	4
K50	signaling by the b cell receptor bcr	men	up	#4A75A9	4
K50	mitotic g2 g2 m phases	men	up	#4A75A9	4
K50	hedgehog on state	men	up	#4A75A9	4
K50	m phase	men	up	#4A75A9	4
K50	apoptosis	men	up	#4A75A9	4
K50	beta catenin independent wnt signaling	men	up	#4A75A9	4
K50	c type lectin receptors clrs	men	up	#4A75A9	4
K50	fc epsilon receptor fceri signaling	men	up	#4A75A9	4
K50	er to golgi anterograde transport	men	up	#4A75A9	4
K50	regulated necrosis	men	up	#4A75A9	4
K50	interleukin 4 and interleukin 13 signaling	men	up	#4A75A9	4
K50	mitotic spindle checkpoint	men	up	#4A75A9	4
K50	copi independent golgi to er retrograde traffic	men	up	#4A75A9	4
K50	transport to the golgi and subsequent modification	men	up	#4A75A9	4
K50	unfolded protein response upr	men	up	#4A75A9	4
K50	golgi to er retrograde transport	men	up	#4A75A9	4
K50	raf independent mapk1 3 activation	men	up	#4A75A9	4
K50	eukaryotic translation elongation	women	down	#B6453A	4
K50	nonsense mediated decay nmd	women	down	#B6453A	4
K50	response of eif2ak4 gcn2 to amino acid deficiency	women	down	#B6453A	4
K50	selenoamino acid metabolism	women	down	#B6453A	4
K50	sars cov 1 modulates host translation machinery	women	down	#B6453A	4
K50	regulation of beta cell development	men	down	#4A75A9	4
K12	extracellular matrix organization	common	up	#19787F	5
K12	ecm proteoglycans	common	up	#19787F	5
K12	collagen biosynthesis and modifying enzymes	common	up	#19787F	5
K12	collagen formation	common	up	#19787F	5
K12	regulation of insulin like growth factor igf transport and uptake by insulin like growth factor binding proteins igfbps	common	up	#19787F	5
K12	collagen degradation	common	up	#19787F	5
K12	degradation of the extracellular matrix	common	up	#19787F	5
K12	binding and uptake of ligands by scavenger receptors	common	up	#19787F	5
K12	met activates ptk2 signaling	common	up	#19787F	5
K12	collagen chain trimerization	common	up	#19787F	5
K12	integrin cell surface interactions	common	up	#19787F	5
K12	met promotes cell motility	common	up	#19787F	5
K12	assembly of collagen fibrils and other multimeric structures	common	up	#19787F	5
K12	non integrin membrane ecm interactions	common	up	#19787F	5
K12	interferon alpha beta signaling	common	up	#19787F	5
K12	activation of matrix metalloproteinases	common	up	#19787F	5
K12	signaling by pdgf	common	up	#19787F	5
K12	chondroitin sulfate dermatan sulfate metabolism	common	up	#19787F	5
K12	syndecan interactions	common	up	#19787F	5
K12	laminin interactions	common	up	#19787F	5
K12	interferon signaling	common	up	#19787F	5
K12	immunoregulatory interactions between a lymphoid and a non lymphoid cell	women	up	#B6453A	5
K12	elastic fibre formation	women	up	#B6453A	5
